町丁目,世帯数,人口,男_総数,女_総数,０歳男人数,０歳女人数,１歳男人数,１歳女人数,２歳男人数,２歳女人数,３歳男人数,３歳女人数,４歳男人数,４歳女人数,５歳男人数,５歳女人数,６歳男人数,６歳女人数,７歳男人数,７歳女人数,８歳男人数,８歳女人数,９歳男人数,９歳女人数,１０歳男人数,１０歳女人数,１１歳男人数,１１歳女人数,１２歳男人数,１２歳女人数,１３歳男人数,１３歳女人数,１４歳男人数,１４歳女人数,１５歳男人数,１５歳女人数,１６歳男人数,１６歳女人数,１７歳男人数,１７歳女人数,１８歳男人数,１８歳女人数,１９歳男人数,１９歳女人数,２０歳男人数,２０歳女人数,２１歳男人数,２１歳女人数,２２歳男人数,２２歳女人数,２３歳男人数,２３歳女人数,２４歳男人数,２４歳女人数,２５歳男人数,２５歳女人数,２６歳男人数,２６歳女人数,２７歳男人数,２７歳女人数,２８歳男人数,２８歳女人数,２９歳男人数,２９歳女人数,３０歳男人数,３０歳女人数,３１歳男人数,３１歳女人数,３２歳男人数,３２歳女人数,３３歳男人数,３３歳女人数,３４歳男人数,３４歳女人数,３５歳男人数,３５歳女人数,３６歳男人数,３６歳女人数,３７歳男人数,３７歳女人数,３８歳男人数,３８歳女人数,３９歳男人数,３９歳女人数,４０歳男人数,４０歳女人数,４１歳男人数,４１歳女人数,４２歳男人数,４２歳女人数,４３歳男人数,４３歳女人数,４４歳男人数,４４歳女人数,４５歳男人数,４５歳女人数,４６歳男人数,４６歳女人数,４７歳男人数,４７歳女人数,４８歳男人数,４８歳女人数,４９歳男人数,４９歳女人数,５０歳男人数,５０歳女人数,５１歳男人数,５１歳女人数,５２歳男人数,５２歳女人数,５３歳男人数,５３歳女人数,５４歳男人数,５４歳女人数,５５歳男人数,５５歳女人数,５６歳男人数,５６歳女人数,５７歳男人数,５７歳女人数,５８歳男人数,５８歳女人数,５９歳男人数,５９歳女人数,６０歳男人数,６０歳女人数,６１歳男人数,６１歳女人数,６２歳男人数,６２歳女人数,６３歳男人数,６３歳女人数,６４歳男人数,６４歳女人数,６５歳男人数,６５歳女人数,６６歳男人数,６６歳女人数,６７歳男人数,６７歳女人数,６８歳男人数,６８歳女人数,６９歳男人数,６９歳女人数,７０歳男人数,７０歳女人数,７１歳男人数,７１歳女人数,７２歳男人数,７２歳女人数,７３歳男人数,７３歳女人数,７４歳男人数,７４歳女人数,７５歳男人数,７５歳女人数,７６歳男人数,７６歳女人数,７７歳男人数,７７歳女人数,７８歳男人数,７８歳女人数,７９歳男人数,７９歳女人数,８０歳男人数,８０歳女人数,８１歳男人数,８１歳女人数,８２歳男人数,８２歳女人数,８３歳男人数,８３歳女人数,８４歳男人数,８４歳女人数,８５歳男人数,８５歳女人数,８６歳男人数,８６歳女人数,８７歳男人数,８７歳女人数,８８歳男人数,８８歳女人数,８９歳男人数,８９歳女人数,９０歳男人数,９０歳女人数,９１歳男人数,９１歳女人数,９２歳男人数,９２歳女人数,９３歳男人数,９３歳女人数,９４歳男人数,９４歳女人数,９５歳男人数,９５歳女人数,９６歳男人数,９６歳女人数,９７歳男人数,９７歳女人数,９８歳男人数,９８歳女人数,９９歳男人数,９９歳女人数,１００歳男人数,１００歳女人数,１０１歳男人数,１０１歳女人数,１０２歳男人数,１０２歳女人数,１０３歳男人数,１０３歳女人数,１０４歳男人数,１０４歳女人数,１０５歳男人数,１０５歳女人数,１０６歳男人数,１０６歳女人数,１０７歳男人数,１０７歳女人数,１０８歳男人数,１０８歳女人数,１０９歳男人数,１０９歳女人数,１１０歳男人数,１１０歳女人数,１１１歳男人数,１１１歳女人数,１１２歳男人数,１１２歳女人数,１１３歳男人数,１１３歳女人数,１１４歳男人数,１１４歳女人数,１１５歳男人数,１１５歳女人数,１１６歳男人数,１１６歳女人数,１１７歳男人数,１１７歳女人数,１１８歳男人数,１１８歳女人数,１１９歳男人数,１１９歳女人数,120歳以上男人数,120歳以上女人数,不詳者男人数,不詳者女人数
総数,329289,573120,275274,297846,1974,1774,1962,1942,1980,1884,2057,1989,2035,2001,2148,2043,2101,2050,2098,2118,2186,2058,2067,1935,2043,1939,2036,1958,2010,1921,2033,1918,1971,1874,2015,1891,1888,1858,1760,1745,2046,2070,2315,2299,2545,2569,2733,2969,3518,3750,3839,4145,4357,4574,4494,4810,4597,4978,4549,4980,4640,5032,4448,4704,4410,4592,4303,4424,4135,4274,4031,4086,4201,4302,4177,4231,4187,4143,4322,4379,4468,4337,4447,4485,4386,4317,4264,4226,4298,4331,4477,4426,4530,4490,4462,4506,4461,4524,4410,4491,4613,4885,4615,4851,4574,4896,4322,4731,4478,4724,4320,4497,4416,4552,4282,4105,3729,3806,3857,3863,4018,3930,3596,3589,3422,3424,3162,3271,2969,3042,2926,3013,2882,2844,2600,2783,2426,2591,2508,2574,2422,2550,2363,2570,2403,2589,2364,2577,2475,2855,2726,3224,2792,3315,3061,3630,2327,2917,1503,1896,1781,2388,1945,2696,1784,2468,1696,2570,1577,2414,1287,1970,1070,1852,1148,1987,1084,1873,1009,1998,876,1758,694,1559,686,1475,505,1225,414,1071,360,912,254,842,175,636,129,484,102,401,50,277,38,186,18,127,13,93,7,64,4,37,2,16,0,16,1,11,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
方南1丁目,5171,8237,4228,4009,26,26,25,35,31,21,26,29,23,30,39,31,33,28,33,32,31,12,24,29,25,24,25,29,22,24,23,22,27,26,16,24,24,18,16,30,31,20,37,40,43,34,32,51,66,52,71,67,102,74,115,67,112,85,94,75,115,88,105,72,86,77,93,64,79,73,66,82,73,79,99,68,93,73,70,68,77,68,84,61,75,67,65,65,56,60,73,53,55,67,63,60,66,63,69,55,63,68,67,53,62,65,58,51,74,62,54,51,63,57,57,42,60,40,45,46,41,50,37,41,41,32,46,30,32,32,28,38,21,23,28,36,27,37,31,28,32,24,28,41,34,43,38,26,34,33,41,42,38,33,37,48,28,30,20,14,21,37,26,30,23,29,22,26,18,27,16,23,14,23,15,15,14,18,12,30,7,25,10,13,9,16,3,14,4,17,5,9,3,10,3,14,1,4,0,3,1,3,1,4,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
方南2丁目,3145,5244,2499,2745,19,26,25,29,30,22,34,23,25,38,17,18,16,19,14,23,22,14,16,15,20,13,13,8,11,15,13,12,16,8,17,16,11,17,19,14,9,13,10,11,17,12,14,25,33,20,28,35,33,34,33,37,47,48,34,46,50,47,43,43,40,55,44,59,44,40,39,42,46,52,53,34,55,47,47,57,47,41,54,55,53,47,57,45,40,40,37,49,35,48,43,44,43,36,41,43,48,50,44,49,39,42,38,57,46,40,32,38,37,47,28,28,26,33,28,31,25,27,35,26,23,32,21,28,24,30,23,22,22,18,23,30,21,26,25,25,26,29,25,25,18,31,25,25,22,24,26,35,28,34,27,30,23,24,22,11,12,18,19,24,10,28,11,17,12,19,8,19,8,25,11,15,11,12,6,19,7,14,6,7,4,15,3,6,5,6,4,3,3,4,1,3,0,5,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉1丁目,3961,5827,2946,2881,14,15,17,10,17,15,13,13,15,9,12,10,15,17,13,10,15,21,17,16,14,14,12,11,14,14,13,8,9,12,12,13,9,7,6,9,16,26,28,22,35,32,32,43,40,44,60,57,71,57,72,92,80,79,74,76,85,74,74,79,83,67,52,61,52,56,62,58,79,63,63,48,58,39,61,52,47,44,56,38,54,49,42,45,53,46,40,48,54,50,38,31,56,36,47,38,55,45,54,41,48,37,35,30,39,35,43,34,28,31,37,28,26,31,25,32,32,27,34,32,34,31,34,30,21,28,28,19,28,27,19,11,24,23,27,24,22,25,25,20,13,33,26,18,21,29,27,24,25,21,23,38,15,22,17,11,15,19,21,24,16,13,19,19,8,18,5,19,6,13,12,19,8,15,6,16,6,13,10,25,4,12,9,6,3,9,3,4,2,6,2,5,1,3,1,3,1,3,1,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉2丁目,4310,7399,3732,3667,34,22,28,17,41,29,23,33,22,21,32,29,28,25,20,41,31,37,30,20,25,24,32,33,26,30,23,23,28,30,25,28,21,26,25,19,34,29,30,37,41,47,48,53,66,51,97,63,89,60,89,57,69,63,77,53,77,70,62,69,67,57,63,42,60,48,58,53,62,46,75,59,63,47,63,62,55,55,58,52,55,66,61,53,54,56,66,52,65,63,61,51,66,62,54,45,60,53,56,59,47,65,50,55,54,46,52,61,51,56,70,56,41,38,44,41,41,36,52,28,43,39,37,47,36,32,29,33,36,25,32,32,23,26,27,32,23,30,23,22,25,33,17,23,25,30,30,40,35,44,36,51,28,43,19,20,22,27,24,26,28,33,26,31,17,37,10,19,13,20,9,22,9,22,4,16,13,15,10,14,4,19,6,13,2,9,7,6,1,9,2,11,3,6,0,3,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉3丁目,3809,6589,3096,3493,29,17,25,17,17,21,14,26,26,24,30,19,23,21,21,24,23,22,20,19,30,16,21,18,22,24,14,21,23,16,22,9,24,17,17,23,21,25,32,31,24,32,40,30,42,40,50,56,37,63,46,53,67,68,60,76,56,73,57,68,52,69,49,65,44,52,38,56,55,55,42,56,51,50,53,57,52,62,49,54,39,52,54,44,51,61,50,49,42,48,49,58,44,42,49,40,52,57,62,58,47,62,48,57,39,48,57,51,52,51,50,58,34,47,33,45,56,49,43,35,39,45,45,41,25,43,28,30,40,26,28,36,28,34,29,32,18,23,32,34,34,30,28,24,24,35,22,32,36,30,39,32,24,40,15,23,18,29,19,31,16,33,20,23,13,18,14,15,14,20,19,15,8,18,6,14,11,16,9,15,6,11,5,18,5,12,6,12,2,5,0,11,1,12,0,5,1,4,0,3,0,1,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉4丁目,4915,8672,4200,4472,21,32,29,27,27,27,31,39,41,29,40,37,43,26,32,42,28,36,37,33,43,37,34,32,35,41,28,22,28,28,32,22,28,27,21,30,32,22,35,37,31,33,40,48,46,43,48,53,75,61,73,55,73,54,68,61,70,68,75,68,74,80,63,58,76,69,54,51,69,67,70,71,63,75,64,61,63,69,79,79,67,75,70,67,87,71,69,83,82,70,74,78,73,77,74,71,61,73,76,78,75,75,62,58,78,66,44,57,66,70,65,55,49,44,41,47,54,59,43,44,44,51,37,41,36,57,43,46,47,40,42,42,36,45,25,40,28,41,34,41,36,38,38,40,42,45,52,50,47,48,38,47,32,45,21,27,27,43,32,46,29,38,26,54,26,38,23,28,17,26,13,24,13,39,21,30,12,20,8,20,11,27,7,23,8,14,3,11,3,10,5,7,4,4,2,7,0,4,1,3,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下高井戸1丁目,3331,4595,2178,2417,21,13,8,9,11,10,10,10,11,9,11,9,6,11,10,10,9,4,6,8,6,11,9,7,4,6,5,4,7,10,6,9,3,7,4,8,15,21,21,34,27,26,21,31,37,51,49,60,52,66,60,90,65,75,66,81,63,66,63,50,50,64,39,64,44,56,51,41,37,37,40,40,41,40,47,42,43,33,36,24,25,28,38,39,35,31,41,41,39,32,34,21,28,39,35,24,49,44,41,33,35,22,24,32,25,19,37,30,25,37,26,21,29,23,25,28,30,28,13,20,15,22,13,25,22,16,28,29,12,20,18,18,16,23,12,22,12,15,13,22,24,22,11,21,24,17,25,27,24,28,19,10,13,23,9,9,10,15,15,19,13,17,11,21,8,10,8,12,8,17,8,18,8,12,6,14,5,7,5,9,6,8,4,3,2,7,1,4,1,4,1,1,0,4,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下高井戸2丁目,1958,3004,1468,1536,6,8,5,12,6,6,9,5,8,6,13,9,9,4,8,8,9,6,10,7,8,5,12,8,7,5,7,7,7,10,8,7,10,6,6,13,11,17,17,14,9,5,25,16,24,22,24,27,28,33,23,35,35,28,46,25,31,27,27,34,14,23,24,28,22,30,26,26,29,20,12,23,20,20,25,32,29,19,28,22,27,19,22,29,24,20,25,30,20,23,16,30,20,23,15,18,23,30,29,25,37,19,19,17,23,20,28,16,14,27,26,17,25,14,22,20,15,22,20,12,15,13,13,23,12,8,17,9,16,7,13,7,13,10,13,16,9,10,8,22,6,13,16,22,18,21,26,17,15,19,16,15,17,22,8,5,6,7,13,19,7,19,13,12,12,12,2,12,3,14,4,8,9,8,4,12,3,12,4,10,3,9,1,8,1,5,2,5,2,4,0,5,0,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下高井戸3丁目,2133,3875,1887,1988,8,18,15,9,21,16,16,14,11,16,16,23,16,17,8,14,16,13,15,15,21,14,16,12,20,14,20,13,12,16,15,14,14,11,10,18,16,8,19,10,24,15,28,19,31,23,30,36,30,28,37,24,26,39,27,25,27,27,22,31,19,24,25,24,32,30,29,18,28,31,24,32,31,24,21,23,30,29,21,22,23,32,27,26,27,28,29,22,26,31,31,41,25,24,38,29,31,30,31,34,26,34,19,31,32,39,31,19,24,27,33,30,15,20,22,24,30,22,25,28,24,21,18,17,18,18,26,23,29,23,14,19,20,15,14,20,13,23,18,15,18,18,16,18,23,16,18,21,16,19,23,24,16,22,16,18,16,25,10,24,16,16,17,27,13,17,10,16,12,13,10,9,11,20,5,15,7,17,6,12,10,9,3,5,1,9,4,7,2,5,2,6,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
