"名称","名称かな","所在地","詳細情報","TEL","分類HCODE","経度","緯度","分類"
"たから湯","","若宮1-49-1","","3330-4126","550100","139.648031283037","35.720141717499","公衆浴場"
"大和湯","","大和町4-1-3","","3339-5089","550100","139.648530809646","35.7131435983211","公衆浴場"
"上越泉","","野方1-51-10","","3388-9445","550100","139.654868345775","35.7109630089175","公衆浴場"
"昭和湯","","野方1-21-1","","3385-3886","550100","139.657956001077","35.7121379671063","公衆浴場"
"昭和浴場","","中央5-21-12","","3382-2414","550100","139.662183568515","35.6994586401738","公衆浴場"
"一の湯","","沼袋1-39-10","","3386-2836","550100","139.663736047933","35.7201912719005","公衆浴場"
"中野寿湯温泉","","新井1-14-13","","3387-2047","550100","139.667026216683","35.7111953468303","公衆浴場"
"えごた湯","","江古田3-5-12","","3385-7800","550100","139.668949189986","35.7260698787171","公衆浴場"
"大黒湯","","本町4-32-10","","3381-9690","550100","139.669462932413","35.6946493262928","公衆浴場"
"高砂湯","","中央4-49-2","","3380-4126","550100","139.669704447252","35.7018484778623","公衆浴場"
"月の湯","","南台2-30-7","","3381-8786","550100","139.670118277626","35.6841345457653","公衆浴場"
"新越泉","","新井5-17-2","","3386-4917","550100","139.670203907951","35.7153512215159","公衆浴場"
"天神湯","","中野5-10-10","","3387-2657","550100","139.671500037787","35.7066359972685","公衆浴場"
"照の湯","","中央3-30-6","","3381-8051","550100","139.672618341854","35.6985629518182","公衆浴場"
"清春湯","","弥生町2-1-9","","3373-0440","550100","139.676874540652","35.6902955540163","公衆浴場"
"クラブ湯","","本町2-47-5","","3373-0570","550100","139.680843680269","35.6964254458357","公衆浴場"
"健康浴泉","","東中野3-17-3","","3362-3524","550100","139.681437641975","35.7084542481122","公衆浴場"
"アクア東中野","","東中野4-9-22","","5330-1126","550100","139.685710683541","35.707456346759","公衆浴場"
"松本湯","","東中野5-29-12","","3371-8392","550100","139.689689147428","35.7108500856377","公衆浴場"
