"年度","生活一般[件]","児童[件]","経済的支援・生活援護[件]","その他[件]","合計[件]"
"2016","642","81","764","2364","3851"
"2017","658","140","580","3508","4886"
"2018","558","130","429","3707","4824"
"2019","448","93","342","3530","4413"
"2020","306","11","202","1319","1838"

"令和3年度港区行政資料集　母子・父子福祉相談状況","Ver202103",,,,
