"町丁目","総合支所","平成23年度調査区域面積[ha]","平成28年度調査区域面積[平方メートル]","平成28年度調査区域面積[ha]","平成23年度緑被地面積[平方メートル]","平成28年度緑被地面積[平方メートル]","緑被地面積増減(H23→H28)[平方メートル]","平成23年度緑被率[％]","平成28年度緑被率[％]","緑被地面積増減率[％]","緑被率増減(H23→H28)[ポイント]"
"芝一丁目","芝地区","6.69 ","66,856 ","6.69 ","6,198 ","6,318 ","119.94","9.27 ","9.45 ","0.18","0.18"
"芝二丁目","芝地区","16.58 ","165,807 ","16.58 ","14,633 ","14,242 ","-390","8.83 ","8.59 ","-0.24","-0.24"
"芝三丁目","芝地区","15.38 ","153,827 ","15.38 ","13,532 ","12,114 ","-1419","8.80 ","7.88 ","-0.92","-0.92"
"芝四丁目","芝地区","9.43 ","94,317 ","9.43 ","9,792 ","9,292 ","-501","10.38 ","9.85 ","-0.53","-0.53"
"芝五丁目","芝地区","21.50 ","215,031 ","21.50 ","21,655 ","22,050 ","395","10.07 ","10.25 ","0.18","0.18"
"海岸一丁目","芝地区","38.97 ","389,731 ","38.97 ","74,304 ","75,444 ","1,141","19.06 ","19.36 ","0.29","0.29"
"東新橋一丁目","芝地区","23.60 ","236,037 ","23.60 ","34,945 ","36,667 ","1,722","14.80 ","15.53 ","0.73","0.73"
"東新橋二丁目","芝地区","7.29 ","72,915 ","7.29 ","4,146 ","4,259 ","113","5.69 ","5.84 ","0.15","0.15"
"新橋一丁目","芝地区","7.45 ","74,543 ","7.45 ","2,598 ","2,618 ","20","3.48 ","3.51 ","0.03","0.03"
"新橋二丁目","芝地区","9.96 ","99,558 ","9.96 ","2,157 ","2,456 ","299","2.17 ","2.47 ","0.30","0.30"
"新橋三丁目","芝地区","6.41 ","64,089 ","6.41 ","2,720 ","2,134 ","-586","4.24 ","3.33 ","-0.91","-0.91"
"新橋四丁目","芝地区","6.67 ","66,735 ","6.67 ","1,961 ","2,934 ","973","2.94 ","4.40 ","1.46","1.46"
"新橋五丁目","芝地区","7.44 ","74,374 ","7.44 ","4,314 ","4,159 ","-155","5.80 ","5.59 ","-0.21","-0.21"
"新橋六丁目","芝地区","7.85 ","78,507 ","7.85 ","4,824 ","4,369 ","-455","6.15 ","5.57 ","-0.58","-0.58"
"西新橋一丁目","芝地区","10.40 ","104,037 ","10.40 ","4,849 ","5,530 ","681","4.66 ","5.32 ","0.65","0.65"
"西新橋二丁目","芝地区","9.32 ","93,209 ","9.32 ","7,234 ","8,425 ","1,191","7.76 ","9.04 ","1.28","1.28"
"西新橋三丁目","芝地区","11.43 ","114,270 ","11.43 ","7,852 ","6,793 ","-1059","6.87 ","5.94 ","-0.93","-0.93"
"三田一丁目","芝地区","23.12 ","231,166 ","23.12 ","36,422 ","39,567 ","3,145","15.76 ","17.12 ","1.36","1.36"
"三田二丁目","芝地区","31.83 ","318,312 ","31.83 ","100,766 ","98,360 ","-2406","31.66 ","30.90 ","-0.76","-0.76"
"三田三丁目","芝地区","16.55 ","165,544 ","16.55 ","26,499 ","24,143 ","-2356","16.01 ","14.58 ","-1.42","-1.42"
