"年度","ショートステイ（利用延日数）[日]","トワイライトステイ(利用延日数)[日]","子育てひろば（利用者数）[人]","乳幼児一時預かり（利用者数）[人]","要支援家庭ショートステイ（利用延日数）[日]"
"2017","1108","1295","24707","5937",
"2018","1195","1146","22859","5513","90"
"2019","1380","1032","19685","5234","104"
"2020","1420","488","8669","3734","22"
"2021","1140","677","13635","5312","2"

"令和4年度港区行政資料集　みなと子育て応援プラザPokke事業実施状況","Ver202203",,,,
