"科目","合計[百万円]","固定資産等形成分[百万円]","余剰分（不足分）[百万円]"
"年度[西暦]","2022",,
"期間（自）","20220401",,
"期間（至）","20230331",,
"前年度末純資産残高","3579061","3581731","-2670"
"本年度純資産変動額 本年度差額 純行政コスト","-140124",,"-140124"
"本年度純資産変動額 本年度差額 財源","158009",,"158009"
"本年度純資産変動額 本年度差額 財源 税収等","120630",,"120630"
"本年度純資産変動額 本年度差額 財源 国都等補助金","37379",,"37379"
"本年度純資産変動額 本年度差額","17885",,"17885"
"本年度純資産変動額 固定資産等の変動（内部変動）",,"17533","-17533"
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の増加",,"22270","-22270"
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の減少",,"-12894","12894"
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の増加",,"15233","-15233"
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の減少",,"-7076","7076"
"本年度純資産変動額 資産評価差額","-","-",
"本年度純資産変動額 無償所管換等","4534","4534",
"本年度純資産変動額 その他","-","-","-"
"本年度純資産変動額","22418","22067","352"
"本年度末純資産残高","3601479","3603798","-2319"

"一般会計財務書類（純資産変動計算書）(令和4年4月1日から令和5年3月31日)","Ver202303",,
