"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2019","議会費","719824","0.5","714824","0.5"
"2019","総務費","26656646","18.8","32884830","21.2"
"2019","環境清掃費","5903886","4.2","5951343","3.8"
"2019","民生費","55640808","39.3","57401332","37"
"2019","衛生費","5530211","3.9","5647529","3.6"
"2019","産業経済費","2772452","2.0","3357842","2.2"
"2019","土木費","17304052","12.2","16039182","10.3"
"2019","教育費","18793706","13.3","20302310","13.1"
"2019","公債費","239180","0.2","239180","0.2"
"2019","諸支出金","7509235","5.3","11971242","7.7"
"2019","予備費","500000","0.4","500000","0.3"
"2019","歳出合計","141570000","100","155009614","100"
"2020","議会費","716603","0.5",,
"2020","総務費","28229555","19.4",,
"2020","環境清掃費","6305768","4.3",,
"2020","民生費","56735625","39",,
"2020","衛生費","5658990","3.9",,
"2020","産業経済費","3114924","2.1",,
"2020","土木費","18723855","12.9",,
"2020","教育費","17613085","12.1",,
"2020","公債費","189786","0.1",,
"2020","諸支出金","7651809","5.3",,
"2020","予備費","500000","0.3",,
"2020","歳出合計","145440000","100",,

"令和2年度港区行政資料集　 一般会計歳出予算（款別）","Ver202003",,,,
