地域区分,国・地域（人）,人口
総数,総数,331277
アジア,アジア,270234
アジア,アフガニスタン,45
アジア,アラブ首長国連邦,4
アジア,ミャンマー,3829
アジア,バハレーン,1
アジア,ブータン,13
アジア,バングラデシュ,2436
アジア,ブルネイ,4
アジア,カンボディア,167
アジア,スリ・ランカ,997
アジア,中国,104940
アジア,サイプラス,10
アジア,インド,4398
アジア,インドネシア,2506
アジア,イラン,1472
アジア,イラク,36
アジア,イスラエル,421
アジア,ジョルダン,41
アジア,韓国・朝鮮,102887
アジア,クウェイト,14
アジア,ラオス,182
アジア,レバノン,34
アジア,マレイシア,4236
アジア,モンゴル,408
アジア,オマーン,4
アジア,モルディヴ,11
アジア,ネパール,1459
アジア,パキスタン,1782
アジア,フィリピン,29409
アジア,カタル,37
アジア,サウディ・アラビア,63
アジア,シリア,47
アジア,シンガポール,1070
アジア,タイ,5365
アジア,トルコ,383
アジア,ヴィエトナム,1518
アジア,イエメン,5
ヨーロッパ,ヨーロッパ,21929
ヨーロッパ,アルバニア,7
ヨーロッパ,オーストリア,228
ヨーロッパ,ベルギー,269
ヨーロッパ,ブルガリア,138
ヨーロッパ,ベラルーシ,82
ヨーロッパ,クロアチア,18
ヨーロッパ,チェッコ,76
ヨーロッパ,デンマーク,255
ヨーロッパ,エストニア,12
ヨーロッパ,フィンランド,281
ヨーロッパ,フランス,3837
ヨーロッパ,ドイツ,2161
ヨーロッパ,ギリシャ,75
ヨーロッパ,ハンガリー,124
ヨーロッパ,アイスランド,17
ヨーロッパ,アイルランド,458
ヨーロッパ,イタリア,806
ヨーロッパ,キルギス,10
ヨーロッパ,カザフスタン,30
ヨーロッパ,リヒテンシュタイン,1
ヨーロッパ,ルクセンブルグ,5
ヨーロッパ,ラトヴィア,10
ヨーロッパ,リトアニア,61
ヨーロッパ,モナコ,1
ヨーロッパ,マルタ,11
ヨーロッパ,モルドヴァ,14
ヨーロッパ,マケドニア,11
ヨーロッパ,オランダ,396
ヨーロッパ,ノールウェー,90
ヨーロッパ,ポーランド,187
ヨーロッパ,ポルトガル,123
ヨーロッパ,ルーマニア,664
ヨーロッパ,ロシア,1532
ヨーロッパ,スペイン,457
ヨーロッパ,スウェーデン,627
ヨーロッパ,スイス,406
ヨーロッパ,トルクメニスタン,1
ヨーロッパ,タジキスタン,1
ヨーロッパ,英国,7911
ヨーロッパ,ウクライナ,303
ヨーロッパ,ウズベキスタン,95
ヨーロッパ,ユーゴスラヴィア,10
ヨーロッパ,アルメニア,5
ヨーロッパ,アゼルバイジャン,5
ヨーロッパ,グルジア,10
ヨーロッパ,スロヴェニア,13
ヨーロッパ,スロヴァキア,55
ヨーロッパ,ボスニア・ヘルツェゴヴィナ,4
ヨーロッパ,ユーゴスラヴィア連邦共和国,36
アフリカ,アフリカ,2867
アフリカ,アルジェリア,35
アフリカ,ブルンディ,3
アフリカ,ボツワナ,1
アフリカ,カメルーン,38
アフリカ,中央アフリカ,3
アフリカ,チャード,1
アフリカ,コンゴー,3
アフリカ,コンゴー民主共和国,43
アフリカ,ベナン,7
アフリカ,ジブティ,1
アフリカ,エティオピア,97
アフリカ,エリトリア,1
アフリカ,ガボン,4
アフリカ,ガーナ,605
アフリカ,ギニア,146
アフリカ,ガンビア,6
アフリカ,象牙海岸共和国,27
アフリカ,ケニア,92
アフリカ,リベリア,7
アフリカ,リビア,2
アフリカ,レソト,55
アフリカ,マダガスカル,8
アフリカ,マリ,34
アフリカ,モーリタニア,2
アフリカ,モロッコ,88
アフリカ,マラウイ,6
アフリカ,モーリシァス,19
アフリカ,ニジェール,1
アフリカ,ナイジェリア,708
アフリカ,ルワンダ,3
アフリカ,セネガル,65
アフリカ,シエラ・レオーネ,30
アフリカ,ソマリア,3
アフリカ,スーダン,33
アフリカ,セイシェル,2
アフリカ,タンザニア,62
アフリカ,トーゴー,8
アフリカ,テュニジア,91
アフリカ,ウガンダ,133
アフリカ,南アフリカ共和国,142
アフリカ,エジプト,211
アフリカ,ブルキナ・ファソ,3
アフリカ,ザンビア,17
アフリカ,ジンバブエ,18
アフリカ,アンゴラ,3
北米,北米,22380
北米,バルバドス,49
北米,バハマ,91
北米,ベリーズ,3
北米,カナダ,3104
北米,コスタ・リカ,39
北米,キューバ,47
北米,ドミニカ共和国,67
北米,ドミニカ,13
北米,エル・サルヴァドル,20
北米,グァテマラ,25
北米,ハイティ,5
北米,ホンデュラス,54
北米,ジャマイカ,35
北米,メキシコ,341
北米,ニカラグァ,14
北米,パナマ,10
北米,セント・ヴィンセント,1
北米,トリニダッド・トバゴ,11
北米,米国,18448
北米,グレナダ,2
北米,アンティグァ・バーブーダ,1
南米,南米,8753
南米,アルゼンティン,299
南米,ボリヴィア,111
南米,ブラジル,5081
南米,チリ,136
南米,コロンビア,791
南米,エクアドル,24
南米,パラグァイ,84
南米,ペルー,2136
南米,スリナム,5
南米,ウルグァイ,23
南米,ヴェネズエラ,63
オセアニア,オセアニア,4865
オセアニア,オーストラリア,3829
オセアニア,フィジー,55
オセアニア,キリバス,1
オセアニア,マーシャル,2
オセアニア,ミクロネシア,2
オセアニア,ニュー・ジーランド,910
オセアニア,パプア・ニューギニア,21
オセアニア,パラオ,5
オセアニア,ソロモン,4
オセアニア,トンガ,20
オセアニア,トゥヴァル,1
オセアニア,サモア,15
無国籍・その他,無国籍・その他,249
,,
外国人登録人口平成14年１月,,
第２表　国籍別外国人登録人口（平成１4年１月１日現在）,,
注)「無国籍・その他」は、旧国名で報告された人数を含む。,,
