地域階層,地域コード,国・地域(人),総数,中国,韓国・朝鮮,フィリピン,米国,英国,タイ,ブラジル,インド,マレイシア,フランス,その他,前年同月との比較／総数,前年同月との比較／増減数
0,13000,総数,332301,106177,103261,29037,18301,7829,5329,5081,4499,4276,3856,44655,310536,21765
1,13100,区部,277976,90119,86841,23104,15340,7026,4251,2945,4120,3753,3633,36844,259967,18009
4,13101,千代田区,1753,389,382,68,205,82,26,11,57,12,172,349,1629,124
4,13102,中央区,2157,734,586,91,155,82,36,10,65,23,34,341,1903,254
4,13103,港区,16261,1892,2614,894,4063,1464,136,219,424,103,584,3868,16125,136
4,13104,新宿区,27072,8408,10561,915,777,450,532,160,153,1125,844,3147,24661,2411
4,13105,文京区,6184,2138,2183,235,249,113,111,42,142,115,193,663,5946,238
4,13106,台東区,9182,2414,4436,1141,131,81,136,66,267,39,27,444,8284,898
4,13107,墨田区,7145,2344,2267,1229,68,63,315,34,35,36,8,746,6571,574
4,13108,江東区,12487,5044,4084,1376,174,77,252,147,213,53,34,1033,10510,1977
4,13109,品川区,9452,3027,2398,758,664,267,115,109,219,81,84,1730,8989,463
4,13110,目黒区,8352,1658,1587,648,1126,486,120,67,204,117,239,2100,8148,204
4,13111,大田区,15181,4723,4172,1865,560,268,335,340,320,94,82,2422,14349,832
4,13112,世田谷区,15296,3004,3996,1077,1922,719,206,200,343,139,296,3394,14340,956
4,13113,渋谷区,11253,1580,1808,434,2502,1154,136,127,226,240,482,2564,10734,519
4,13114,中野区,11350,4626,3026,454,412,317,149,78,254,180,94,1760,10987,363
4,13115,杉並区,10940,3905,3192,540,647,324,131,103,125,129,96,1748,10611,329
4,13116,豊島区,15998,8426,3319,594,368,247,185,90,79,539,132,2019,14960,1038
4,13117,北区,12267,6198,3195,864,128,131,109,201,84,101,31,1225,11507,760
4,13118,荒川区,11911,3043,7306,544,77,50,88,43,44,16,19,681,11097,814
4,13119,板橋区,14104,6764,3504,1329,242,171,178,192,86,174,39,1425,12952,1152
4,13120,練馬区,11574,4043,3707,937,435,182,183,174,241,171,64,1437,10852,722
4,13121,足立区,20282,5296,9160,3276,146,85,373,287,95,130,29,1405,19115,1167
4,13122,葛飾区,10262,3448,4002,1357,114,74,160,93,81,52,16,865,9621,641
4,13123,江戸川区,17513,7015,5356,2478,175,139,239,152,363,84,34,1478,16076,1437
1,13200,市部,53514,15976,16262,5702,2903,795,1050,2050,375,519,223,7659,49847,3667
4,13201,八王子市,6496,2015,1785,864,198,76,68,225,31,136,23,1075,5788,708
4,13202,立川市,2947,1029,953,359,126,18,28,160,29,10,1,234,2787,160
4,13203,武蔵野市,2392,971,521,108,225,72,29,36,43,33,29,325,2264,128
4,13204,三鷹市,2945,998,681,167,371,104,64,26,15,28,30,461,2916,29
4,13205,青梅市,1227,200,265,276,59,7,50,112,6,8,0,244,1207,20
4,13206,府中市,3615,1110,983,425,279,50,59,146,19,37,10,497,3398,217
4,13207,昭島市,2144,551,848,253,46,3,18,124,8,5,3,285,2012,132
4,13208,調布市,3416,1096,1205,234,151,46,56,56,34,41,25,472,3262,154
4,13209,町田市,3517,1085,1145,355,190,61,66,48,23,20,9,515,3295,222
4,13210,小金井市,2030,732,458,98,159,56,40,15,45,38,29,360,1846,184
4,13211,小平市,3390,707,1937,147,74,29,39,211,10,17,8,211,3169,221
4,13212,日野市,1790,719,482,156,57,24,44,34,15,26,4,229,1535,255
4,13213,東村山市,1461,400,521,195,68,17,39,9,6,13,0,193,1281,180
4,13214,国分寺市,1434,508,454,79,79,39,24,23,11,5,10,202,1326,108
4,13215,国立市,1308,536,338,55,57,21,27,17,11,4,10,232,1256,52
4,13218,福生市,2144,359,493,315,156,5,180,124,3,19,1,489,1966,178
4,13219,狛江市,765,231,196,114,61,15,23,6,8,14,4,93,697,68
4,13220,東大和市,727,115,312,177,6,20,8,22,5,6,0,56,725,2
4,13221,清瀬市,748,251,166,152,34,11,16,7,0,3,2,106,716,32
4,13222,東久留米市,1185,249,293,124,206,35,31,9,20,9,1,208,1087,98
4,13223,武蔵村山市,957,174,232,189,27,3,19,227,0,2,0,84,911,46
4,13224,多摩市,1749,639,543,255,56,15,14,31,6,11,12,167,1602,147
4,13225,稲城市,814,267,298,67,27,14,16,31,5,3,0,86,766,48
4,13227,羽村市,1418,149,186,242,67,4,28,277,7,2,0,456,1355,63
4,13228,あきる野市,565,116,179,65,32,2,15,30,0,4,0,122,508,57
4,13229,西東京市,2330,769,788,231,92,48,49,44,15,25,12,257,2172,158
1,13550,町村部,811,82,158,231,58,8,28,86,4,4,0,152,722,89
2,13300,西多摩郡,557,69,76,131,47,4,23,71,4,4,0,128,486,71
4,13303,瑞穂町,449,42,52,109,29,3,23,62,4,4,0,121,373,76
4,13305,日の出町,73,22,19,10,6,1,0,9,0,0,0,6,83,-10
4,13307,檜原村,14,2,0,5,6,0,0,0,0,0,0,1,11,3
4,13308,奥多摩町,21,3,5,7,6,0,0,0,0,0,0,0,19,2
2,13350,島部,254,13,82,100,11,4,5,15,0,0,0,24,236,18
3,13360,大島支庁,47,5,11,3,0,1,2,14,0,0,0,11,38,9
3,13380,三宅支庁,43,4,15,19,3,0,0,0,0,0,0,2,43,0
3,13400,八丈支庁,153,4,52,77,5,3,3,1,0,0,0,8,141,12
3,13420,小笠原支庁,11,0,4,1,3,0,0,0,0,0,0,3,14,-3
,,,,,,,,,,,,,,,,
外国人登録人口　平成14年4月,,,,,,,,,,,,,,,,
第１表　区市町村別主要１０か国外国人登録人口  （平成１４年４月１日現在）,,,,,,,,,,,,,,,,
注１）国籍は、平成１4年１月１日現在で登録人口の多い１０か国とした。,,,,,,,,,,,,,,,,
注２）人口規模を考慮し、島部町村については、支庁単位の集計とした。各支庁管内の町村は次のとおり。大島支庁：大島町、利島村、新島村、神津島村。　八丈支庁 ：八丈町、青ヶ島村。三宅支庁 ：三宅村、御蔵島村。小笠原支庁：小笠原村。,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,,
