"年度[西暦]","戸籍数","戸籍人口[人]"
"2017","168518","382542"
"2018","170035","386010"
"2019","171630","389413"
"2020","172480","391504"
"2021","173477","393934"

"令和4年度港区行政資料集　戸籍数及び戸籍人口","Ver202203",
