"年度","団体登録数 男女平等推進団体","団体登録数 男女平等学習団体","施設利用件数[件]","施設利用者数[人]","図書資料貸出数"
"2017","31","160","7469","99320","27997"
"2018","30","163","7627","100971","32398"
"2019","32","140","7433","94337","30792"
"2020","32","147","4645","39059","30936"
"2021","31","145","7126","57543","43236"

"令和4年度港区行政資料集　施設利用状況一覧 男女平等参画センター","Ver202203",,,,
