"年度","合計 利用登録者数[人]","合計 館外利用資料数","みなと 利用登録者数[人]","みなと 館外利用資料数","三田 利用登録者数[人]","三田 館外利用資料数","麻布 利用登録者数[人]","麻布 館外利用資料数","赤坂 利用登録者数[人]","赤坂 館外利用資料数","高輪 利用登録者数[人]","高輪 館外利用資料数","高輪分室 利用登録者数[人]","高輪分室 館外利用資料数","港南 利用登録者数[人]","港南 館外利用資料数"
"2016","128159","2396159","23595","360643","36411","538858","12555","328830","20830","361925","21034","435740","2933","84844","10801","285319"
"2017","109180","2386769","18987","344714","29458","531007","13175","339509","16899","361538","18323","430339","2669","91073","9669","288589"
"2018","111253","2316260","19093","339296","29953","522461","14191","343911","17215","350890","18256","387942","2760","87862","9785","283898"
"2019","113495","2282637","19345","330213","30439","501082","14846","349644","17715","348166","18449","395718","2784","80786","9917","277028"
"2020","111388","1890574","19104","253353","29476","391954","14861","309479","17278","279293","18095","355396","2845","70475","9729","230624"

"令和3年度港区行政資料集　施設利用状況一覧 図書館利用状況","Ver202103",,,,,,,,,,,,,,,
