"名称","区分","総合支所","町丁目","住所","調査敷地面積[平方メートル]","樹木被覆地[平方メートル]","草地[平方メートル]","屋上緑地[平方メートル]","緑被地[平方メートル]","裸地[平方メートル]","水面[平方メートル]","緑被率[％]","樹木被覆率[％]","草地率[％]","屋上緑地率[％]"
"港区役所（行政棟）","区立公共施設","芝地区","芝公園一丁目","芝公園一丁目5番25号","4,548","379","0","555","934","0","0","20.54 ","8.34 ","0.00 ","12.20 "
"港区役所（議会棟）","区立公共施設","芝地区","芝公園一丁目","芝公園一丁目5番25号","792","2","0","0","2","0","0","0.25 ","0.25 ","0.00 ","0.00 "
"麻布地区総合支所","区立公共施設","麻布地区","六本木五丁目","六本木五丁目16番45号","2,637","356","0","0","356","0","0","13.51 ","13.51 ","0.00 ","0.00 "
"赤坂地区総合支所","区立公共施設","赤坂地区","赤坂四丁目","赤坂四丁目18番13号","2,805","210","0","0","210","0","0","7.49 ","7.49 ","0.00 ","0.00 "
"高輪地区総合支所","区立公共施設","高輪地区","高輪一丁目","高輪一丁目16番25号","3,526","384","6","130","520","0","0","14.74 ","10.89 ","0.16 ","3.70 "
"芝浦港南地区総合支所
（みなとパーク芝浦）","区立公共施設","芝浦・港南地区","芝浦一丁目","芝浦一丁目16番1号","20,887","2,057","2,504","1,719","6,280","0","0","30.06 ","9.85 ","11.99 ","8.23 "
"三田いきいきプラザ","区立公共施設","芝地区","芝四丁目","芝四丁目1番17号","1,149","255","15","0","271","0","0","23.55 ","22.23 ","1.32 ","0.00 "
"虎ノ門いきいきプラザ（とらトピア）","区立公共施設","芝地区","虎ノ門一丁目","虎ノ門一丁目21番10号","2,008","276","0","146","422","0","0","21.04 ","13.77 ","0.00 ","7.27 "
"南麻布いきいきプラザ","区立公共施設","麻布地区","南麻布一丁目","南麻布一丁目5番26号","1,804","182","96","94","371","0","0","20.58 ","10.07 ","5.29 ","5.21 "
"麻布いきいきプラザ","区立公共施設","麻布地区","元麻布三丁目","元麻布三丁目5番11号","486","178","11","0","190","0","0","39.00 ","36.68 ","2.32 ","0.00 "
