"年度[西暦]","調査項目","設問","選択肢","回答数[人]","構成比[%]"
"2022","港区の広報・広聴活動について","問38. 区が発信する区政情報が届いていると思いますか。（○は1つ）","とても思う","16","3.0"
"2022","港区の広報・広聴活動について","問38. 区が発信する区政情報が届いていると思いますか。（○は1つ）","思う","183","33.8"
"2022","港区の広報・広聴活動について","問38. 区が発信する区政情報が届いていると思いますか。（○は1つ）","やや思う","172","31.8"
"2022","港区の広報・広聴活動について","問38. 区が発信する区政情報が届いていると思いますか。（○は1つ）","あまり思わない","141","26.1"
"2022","港区の広報・広聴活動について","問38. 区が発信する区政情報が届いていると思いますか。（○は1つ）","思わない","21","3.9"
"2022","港区の広報・広聴活動について","問38. 区が発信する区政情報が届いていると思いますか。（○は1つ）","無回答","8","1.5"
"2022","港区の広報・広聴活動について","問39. 区政情報について、情報を見つけやすく、表現がわかりやすいと思いますか。（○は1つ）","とても思う","15","2.8"
"2022","港区の広報・広聴活動について","問39. 区政情報について、情報を見つけやすく、表現がわかりやすいと思いますか。（○は1つ）","思う","177","32.7"
"2022","港区の広報・広聴活動について","問39. 区政情報について、情報を見つけやすく、表現がわかりやすいと思いますか。（○は1つ）","やや思う","186","34.4"
"2022","港区の広報・広聴活動について","問39. 区政情報について、情報を見つけやすく、表現がわかりやすいと思いますか。（○は1つ）","あまり思わない","132","24.4"
"2022","港区の広報・広聴活動について","問39. 区政情報について、情報を見つけやすく、表現がわかりやすいと思いますか。（○は1つ）","思わない","22","4.1"
"2022","港区の広報・広聴活動について","問39. 区政情報について、情報を見つけやすく、表現がわかりやすいと思いますか。（○は1つ）","無回答","9","1.7"
"2022","港区の広報・広聴活動について","問40. 区へ意見や提案をしやすいと思いますか。（○は1つ）","とても思う","14","2.6"
"2022","港区の広報・広聴活動について","問40. 区へ意見や提案をしやすいと思いますか。（○は1つ）","思う","111","20.5"
"2022","港区の広報・広聴活動について","問40. 区へ意見や提案をしやすいと思いますか。（○は1つ）","やや思う","139","25.7"
"2022","港区の広報・広聴活動について","問40. 区へ意見や提案をしやすいと思いますか。（○は1つ）","あまり思わない","208","38.4"
"2022","港区の広報・広聴活動について","問40. 区へ意見や提案をしやすいと思いますか。（○は1つ）","思わない","61","11.3"
"2022","港区の広報・広聴活動について","問40. 区へ意見や提案をしやすいと思いますか。（○は1つ）","無回答","8","1.5"
"2022","港区の広報・広聴活動について","問41. 区民の声が区政へ反映されていると思いますか。（○は1つ）","とても思う","11","2.0"
"2022","港区の広報・広聴活動について","問41. 区民の声が区政へ反映されていると思いますか。（○は1つ）","思う","87","16.1"
"2022","港区の広報・広聴活動について","問41. 区民の声が区政へ反映されていると思いますか。（○は1つ）","やや思う","182","33.6"
"2022","港区の広報・広聴活動について","問41. 区民の声が区政へ反映されていると思いますか。（○は1つ）","あまり思わない","219","40.5"
"2022","港区の広報・広聴活動について","問41. 区民の声が区政へ反映されていると思いますか。（○は1つ）","思わない","31","5.7"
"2022","港区の広報・広聴活動について","問41. 区民の声が区政へ反映されていると思いますか。（○は1つ）","無回答","11","2.0"

"令和4年度（2022年度）区政モニターアンケート・港区の広報広聴活動について","Ver202301",,,,
