地域階層,地域コード,地域,1月中／転入者数,2月中／転入者数,3月中／転入者数,4月中／転入者数,5月中／転入者数,6月中／転入者数,7月中／転入者数,8月中／転入者数,9月中／転入者数,10月中／転入者数,11月中／転入者数,12月中／転入者数,平成19年中の転入者数
0,13000,総数,25888,27689,86650,72803,35562,26378,29703,31125,24450,31250,25110,24336,440944
1,13100,区部,19662,21033,62623,49909,26568,19909,22160,23231,18104,23002,18893,18321,323415
1,13200,市部,6130,6565,23805,22586,8880,6404,7479,7818,6275,8154,6143,5934,116173
2,13300,郡部,58,52,100,78,55,32,30,29,34,43,43,44,598
2,13350,島部,38,39,122,230,59,33,34,47,37,51,31,37,758
1,13100,区部,19662,21033,62623,49909,26568,19909,22160,23231,18104,23002,18893,18321,323415
4,13101,千代田区,168,115,438,522,249,157,140,176,149,166,136,142,2558
4,13102,中央区,398,415,1011,868,480,407,402,423,352,432,450,416,6054
4,13103,港区,1156,723,1781,1694,956,632,672,728,580,615,518,852,10907
4,13104,新宿区,859,898,2728,2227,1139,919,957,1145,902,967,809,849,14399
4,13105,文京区,469,529,1754,1586,623,495,511,579,485,534,499,427,8491
4,13106,台東区,378,429,941,791,446,358,410,417,395,448,359,358,5730
4,13107,墨田区,437,507,1394,1033,695,530,568,541,434,629,502,476,7746
4,13108,江東区,829,872,2815,2296,1329,795,953,939,741,968,780,752,14069
4,13109,品川区,950,979,2796,1953,1211,934,1063,1016,760,1223,949,880,14714
4,13110,目黒区,690,741,1875,1640,846,650,718,856,568,752,602,598,10536
4,13111,大田区,1484,1731,5672,3828,2185,1627,1806,1860,1462,2038,1708,1482,26883
4,13112,世田谷区,2086,2169,6570,5483,2671,2086,2329,2437,1794,2222,1883,1881,33611
4,13113,渋谷区,557,618,1239,1649,665,676,569,614,511,569,570,483,8720
4,13114,中野区,768,930,2661,2175,1131,788,865,905,737,919,741,731,13351
4,13115,杉並区,1209,1425,4356,3400,1802,1313,1499,1540,1191,1399,1072,1229,21435
4,13116,豊島区,704,821,2137,1900,1021,763,824,740,692,812,682,663,11759
4,13117,北区,670,691,2269,1924,957,720,853,871,643,875,640,613,11726
4,13118,荒川区,350,341,1476,782,530,387,338,420,325,403,322,266,5940
4,13119,板橋区,1079,1115,3533,2835,1483,1104,1257,1255,955,1266,1058,1038,17978
4,13120,練馬区,1348,1513,5165,3810,1878,1398,1715,1906,1375,1755,1396,1241,24500
4,13121,足立区,993,1130,3486,2344,1347,997,1197,1347,1071,1381,1133,1122,17548
4,13122,葛飾区,711,833,2108,1539,984,763,871,866,640,850,687,634,11486
4,13123,江戸川区,1369,1508,4418,3630,1940,1410,1643,1650,1342,1779,1397,1188,23274
1,13200,市部,6130,6565,23805,22586,8880,6404,7479,7818,6275,8154,6143,5934,116173
4,13201,八王子市,842,845,2981,4008,1169,768,911,907,748,1035,733,714,15661
4,13202,立川市,220,265,977,956,351,255,369,287,234,346,222,214,4696
4,13203,武蔵野市,294,280,1190,839,356,264,360,346,222,308,248,217,4924
4,13204,三鷹市,322,371,1432,1151,448,334,374,381,290,442,288,314,6147
4,13205,青梅市,130,120,378,276,149,135,126,119,82,125,111,104,1855
4,13206,府中市,403,450,1759,2087,662,400,469,631,438,578,421,286,8584
4,13207,昭島市,107,130,353,372,160,95,131,127,130,147,108,122,1982
4,13208,調布市,387,441,1854,1289,604,407,474,510,415,476,366,332,7555
4,13209,町田市,806,1013,2644,2156,1112,878,1109,1212,1133,1143,977,933,15116
4,13210,小金井市,221,236,924,832,359,242,225,283,207,300,215,220,4264
