"設置","施設名","郵便番号","所在地","電話番号","定員"
"事務組合","淀橋荘","-","新宿区","-",42
"事務組合","江東荘","-","江東区","-",60
"事務組合","東が丘荘","-","目黒区","-",80
"事務組合","南千住荘","-","荒川区","-",49
"社福法人","宿所提供施設ふじみ","-","板橋区","-",60
"事務組合","小豆沢荘","-","板橋区","-",85
"事務組合","西新井栄荘","-","足立区","-",66
"事務組合","葛飾荘","-","葛飾区","-",50
"事務組合","一之江荘","-","江戸川区","-",70
