"科目","金額[百万円]"
"年度","2020"
"決算日","20210331"
"資産の部 固定資産","3538753"
"資産の部 固定資産 有形固定資産","3392116"
"資産の部 固定資産 有形固定資産 事業用資産","651393"
"資産の部 固定資産 有形固定資産 事業用資産 土地","433727"
"資産の部 固定資産 有形固定資産 事業用資産 立木竹","42"
"資産の部 固定資産 有形固定資産 事業用資産 建物","361089"
"資産の部 固定資産 有形固定資産 事業用資産 建物減価償却累計額","-160397"
"資産の部 固定資産 有形固定資産 事業用資産 工作物","18463"
"資産の部 固定資産 有形固定資産 事業用資産 工作物減価償却累計額","-11793"
"資産の部 固定資産 有形固定資産 事業用資産 船舶","-"
"資産の部 固定資産 有形固定資産 事業用資産 船舶減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等","-"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 航空機","-"
"資産の部 固定資産 有形固定資産 事業用資産 航空機減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 その他","0"
"資産の部 固定資産 有形固定資産 事業用資産 その他減価償却累計額","0"
"資産の部 固定資産 有形固定資産 事業用資産 建設仮勘定","10261"
"資産の部 固定資産 有形固定資産 インフラ資産","2739015"
"資産の部 固定資産 有形固定資産 インフラ資産 土地","2633930"
"資産の部 固定資産 有形固定資産 インフラ資産 建物","1551"
"資産の部 固定資産 有形固定資産 インフラ資産 建物減価償却累計額","-761"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物","119503"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物減価償却累計額","-15207"
"資産の部 固定資産 有形固定資産 インフラ資産 その他","-"
"資産の部 固定資産 有形固定資産 インフラ資産 その他減価償却累計額","-"
"資産の部 固定資産 有形固定資産 インフラ資産 建設仮勘定","-"
"資産の部 固定資産 有形固定資産 物品","4119"
"資産の部 固定資産 有形固定資産 物品減価償却累計額","-2411"
"資産の部 固定資産 無形固定資産","3790"
"資産の部 固定資産 無形固定資産 ソフトウェア","3775"
"資産の部 固定資産 無形固定資産 その他","16"
"資産の部 固定資産 投資その他の資産","142846"
"資産の部 固定資産 投資その他の資産 投資及び出資金","399"
"資産の部 固定資産 投資その他の資産 投資及び出資金 有価証券","325"
"資産の部 固定資産 投資その他の資産 投資及び出資金 出資金","63"
"資産の部 固定資産 投資その他の資産 投資及び出資金 その他","11"
"資産の部 固定資産 投資その他の資産 長期延滞債権","2972"
"資産の部 固定資産 投資その他の資産 長期貸付金","669"
"資産の部 固定資産 投資その他の資産 基金","139527"
"資産の部 固定資産 投資その他の資産 基金 減債基金","-"
"資産の部 固定資産 投資その他の資産 基金 その他","139527"
"資産の部 固定資産 投資その他の資産 その他","-"
"資産の部 固定資産 投資その他の資産 徴収不能引当金","-722"
"資産の部 流動資産","84659"
"資産の部 流動資産 現金預金","25944"
"資産の部 流動資産 未収金","2800"
"資産の部 流動資産 短期貸付金","482"
"資産の部 流動資産 基金","53979"
"資産の部 流動資産 基金 財政調整基金","53979"
"資産の部 流動資産 基金 減債基金","-"
"資産の部 流動資産 棚卸資産","2"
"資産の部 流動資産 その他","1464"
"資産の部 流動資産 徴収不能引当金","-11"
"資産の部 繰延資産","-"
"資産の部 資産合計","3623412"
"負債の部 固定負債","18116"
"負債の部 固定負債 地方債等","2279"
"負債の部 固定負債 長期未払金","2367"
"負債の部 固定負債 退職手当引当金","13380"
"負債の部 固定負債 損失補償等引当金","-"
"負債の部 固定負債 その他","89"
"負債の部 流動負債","10128"
"負債の部 流動負債 1年内償還予定地方債等","313"
"負債の部 流動負債 未払金","888"
"負債の部 流動負債 未払費用","1"
"負債の部 流動負債 前受金","0"
"負債の部 流動負債 前受収益","-"
"負債の部 流動負債 賞与等引当金","1122"
"負債の部 流動負債 預り金","7762"
"負債の部 流動負債 その他","41"
"負債の部 負債合計","28243"
"純資産の部 固定資産等形成分","3593214"
"純資産の部 余剰分（不足分）","1952"
"純資産の部 他団体出資等分","3"
"純資産の部 純資産合計","3595169"
"負債及び純資産合計","3623412"

"連結会計財務書類（貸借対照表）(令和3年3月31日現在)","Ver202103"
