１０　内貿貨物　‐取扱動向‐,,,
,,,
,,貨物量,前年比
,合計,"41,718千トン",102.60%
,移出,"15,751千トン",99.70%
,移入,"25,966千トン",104.40%
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
１１　内貿貨物　‐地域別動向‐,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
◆,"内貿貨物の地域別取扱貨物量をみると、北海道4,014千トン(97.4%）、東北2,245千トン(96.2%)、",,
,"関東10,419千トン（98.4%）、中部2,188千トン(113.0%)、近畿2,115千トン（108.1%)、",,
,"中国1,352千トン(108.1%)、四国1,368千トン（110.9%）、九州・沖縄17,712千トン（104.4%）となりました。",,
