"分類","区市町村","事業所数","従業者数 総数[人]","従業者数 男[人]","従業者数 女[人]"
"区部","千代田区","34250","1038143","658690","373028"
"区部","中央区","37869","756052","466333","287169"
"区部","港区","39375","1014842","659809","352884"
"区部","新宿区","33602","693036","411226","280483"
"区部","文京区","14316","226335","135608","90711"
"区部","台東区","24446","246917","153973","92450"
"区部","墨田区","16884","179072","106073","72690"
"区部","江東区","19112","375745","246841","128027"
"区部","品川区","21609","412700","270364","141524"
"区部","目黒区","12211","141132","76123","64705"
"区部","大田区","31432","375194","235228","139936"
"区部","世田谷区","28994","288580","151915","136592"
"区部","渋谷区","28613","503767","287194","212353"
"区部","中野区","12917","128078","72560","55357"
"区部","杉並区","20592","173874","93694","80092"
"区部","豊島区","19938","279586","163197","116306"
"区部","北区","13701","142168","83012","58686"
"区部","荒川区","9899","85115","49801","35287"
"区部","板橋区","19343","213374","118796","94477"
"区部","練馬区","21426","195639","104310","91266"
"区部","足立区","25887","236348","133141","102570"
"区部","葛飾区","17953","142902","77526","65334"
"区部","江戸川区","21840","196949","108413","88357"
"区部","境界未定地域","539","21243","11576","9628"
"市部","八王子市","19264","231984","127907","103937"
"市部","立川市","7794","119144","64424","54454"
"市部","武蔵野市","7995","87949","45354","42582"
"市部","三鷹市","5411","61109","33530","27534"
"市部","青梅市","4791","55506","30805","24701"
"市部","府中市","7862","118033","69078","48622"
"市部","昭島市","3803","51066","29300","21766"
"市部","調布市","6890","78827","40502","38140"
"市部","町田市","12663","143349","68790","74499"
"市部","小金井市","3027","30955","15725","15227"
"市部","小平市","4947","62094","33333","27670"
"市部","日野市","4604","61188","36567","24621"
"市部","東村山市","3986","41358","19878","21480"
"市部","国分寺市","3674","37146","19288","17855"
"市部","国立市","2804","28784","15169","13615"
"市部","福生市","2179","19748","10148","9600"
"市部","狛江市","2081","16838","8147","8691"
"市部","東大和市","2662","24973","12193","12780"
"市部","清瀬市","1944","20076","8860","11216"
"市部","東久留米市","3104","30758","15198","15560"
"市部","武蔵村山市","2535","27242","14649","12593"
"市部","多摩市","4009","65632","32193","33379"
"市部","稲城市","2228","24299","12721","11567"
"市部","羽村市","2058","27018","17334","9662"
"市部","あきる野市","2529","24907","13391","11516"
"市部","西東京市","5435","52016","24786","27222"
"町村部（西多摩郡）","瑞穂町","1674","22032","13585","8447"
"町村部（西多摩郡）","日の出町","754","9674","5023","4651"
"町村部（西多摩郡）","檜原村","160","962","534","428"
"町村部（西多摩郡）","奥多摩町","320","2415","1407","1008"
"町村部（島部 大島支庁）","大島町","641","3664","2026","1638"
"町村部（島部 大島支庁）","利島村","47","204","133","71"
"町村部（島部 大島支庁）","新島村","280","1439","842","597"
"町村部（島部 大島支庁）","神津島村","198","983","599","384"
"町村部（島部 三宅支庁）","三宅村","264","1416","934","482"
"町村部（島部 三宅支庁）","御蔵島村","38","213","138","75"
"町村部（島部 八丈支庁）","八丈町","626","3509","1995","1514"
"町村部（島部 八丈支庁）","青ヶ島村","25","140","88","52"
"町村部（島部 小笠原支庁）","小笠原村","306","1865","1112","753"

"東京都区市町村別事業所数及び男女別従業者数","ver201703"," 資料:「平成26年経済センサス-基礎調査結果」(総務省統計局)　(http://www.stat.go.jp/data/e-census/2014/index.htm)を加工して作成。
  ","注:従業者数には、男女の別が不詳の従業者を含むため、男性と女性の合計は総数と一致しない場合がある。",,
