"選挙名称","届出番号","党派名","候補者名","22:10[人]","22:55[人]","23:55確定[人]"
"平成27年4月26日執行港区議会議員選挙",29,"民主党","清家あい",1800,3200,3326
"平成27年4月26日執行港区議会議員選挙",20,"日本共産党","熊田ちづ子",1200,2400,2579
"平成27年4月26日執行港区議会議員選挙",5,"自由民主党","やなざわ亜紀",1000,2200,2443
"平成27年4月26日執行港区議会議員選挙",8,"自由民主党","赤坂だいすけ",1000,2200,2359
"平成27年4月26日執行港区議会議員選挙",9,"自由民主党","うかい雅彦",1000,2200,2283
"平成27年4月26日執行港区議会議員選挙",44,"自由民主党","二島とよじ",1000,2200,2241
"平成27年4月26日執行港区議会議員選挙",34,"無所属","横尾としなり",1200,2000,2200
"平成27年4月26日執行港区議会議員選挙",26,"無所属","えのもと茂",1000,2000,2162.271
"平成27年4月26日執行港区議会議員選挙",28,"自由民主党","清原かずゆき",800,1800,2048
"平成27年4月26日執行港区議会議員選挙",42,"自由民主党","池田こうじ",1000,1800,1887.599
"平成27年4月26日執行港区議会議員選挙",25,"日本共産党","いのくま正一",800,1800,1866
"平成27年4月26日執行港区議会議員選挙",3,"自由民主党","ゆうきくみこ",1000,1600,1761
"平成27年4月26日執行港区議会議員選挙",39,"民主党","七戸じゅん",600,1600,1670
"平成27年4月26日執行港区議会議員選挙",32,"日本共産党","風見利男",400,1600,1655
"平成27年4月26日執行港区議会議員選挙",6,"日本共産党","大滝実",800,1600,1626
"平成27年4月26日執行港区議会議員選挙",4,"自由民主党","土屋じゅん",800,1400,1620
"平成27年4月26日執行港区議会議員選挙",23,"無所属","なかまえ由紀",600,1400,1614
"平成27年4月26日執行港区議会議員選挙",12,"公明党","丸山たかのり",800,1400,1566
"平成27年4月26日執行港区議会議員選挙",36,"公明党","近藤まさ子",600,1400,1565
"平成27年4月26日執行港区議会議員選挙",22,"社会民主党","あべひろこ",600,1400,1564
"平成27年4月26日執行港区議会議員選挙",17,"自由民主党","鈴木たかや",800,1400,1456
"平成27年4月26日執行港区議会議員選挙",11,"自由民主党","小倉りえこ",600,1400,1445
"平成27年4月26日執行港区議会議員選挙",1,"維新の党","山野井つよし",600,1400,1439
"平成27年4月26日執行港区議会議員選挙",38,"民主党","杉浦のりお",600,1400,1435
"平成27年4月26日執行港区議会議員選挙",35,"自由民主党","黒崎ゆういち",600,1200,1406
"平成27年4月26日執行港区議会議員選挙",24,"自由民主党","いづつのぶひろ",400,1200,1339
"平成27年4月26日執行港区議会議員選挙",30,"公明党","池田たけし",400,1200,1261.400
"平成27年4月26日執行港区議会議員選挙",46,"公明党","杉本とよひろ",600,1200,1261
"平成27年4月26日執行港区議会議員選挙",33,"維新の党","榎本あゆみ",400,1200,1238.728
"平成27年4月26日執行港区議会議員選挙",21,"公明党","林田かずお",400,1200,1230
"平成27年4月26日執行港区議会議員選挙",31,"公明党","ちほぎみき子",400,1000,1176
"平成27年4月26日執行港区議会議員選挙",16,"自由民主党","うどう巧",200,800,989
"平成27年4月26日執行港区議会議員選挙",14,"無所属","玉木まこと",400,800,962
"平成27年4月26日執行港区議会議員選挙",45,"民主党","兵藤ゆうこ",400,800,935
"平成27年4月26日執行港区議会議員選挙",2,"次世代の党","山本へるみ",200,800,912
"平成27年4月26日執行港区議会議員選挙",37,"自由民主党","広瀬やすのり",200,800,840
"平成27年4月26日執行港区議会議員選挙",43,"無所属","にしこり淳二",200,800,830
"平成27年4月26日執行港区議会議員選挙",41,"議員報酬ゼロを実現する会","中村勝",200,600,749
"平成27年4月26日執行港区議会議員選挙",19,"無所属","渡辺専太郎",400,600,745
"平成27年4月26日執行港区議会議員選挙",27,"日本を元気にする会","橋本じゅり",0,600,693
"平成27年4月26日執行港区議会議員選挙",40,"無所属","水野むねひろ",200,400,573
"平成27年4月26日執行港区議会議員選挙",7,"民主党","服部まさのり",0,400,462
"平成27年4月26日執行港区議会議員選挙",13,"無所属","相田清隆",200,400,440
"平成27年4月26日執行港区議会議員選挙",15,"幸福実現党","なべ島ひさし",0,200,359
"平成27年4月26日執行港区議会議員選挙",10,"無所属","木戸もとふみ",0,200,355
"平成27年4月26日執行港区議会議員選挙",18,"無所属","みはしまり",0,0,193
"平成27年4月26日執行港区議会議員選挙",47,"無所属","おぬまひろゆき",0,0,54

"平成27年4月26日執行 港区議会議員選挙候補者別開票速報(確定)","Ver201504",,,,,
