"名称","所在地","開設年月日","緯度","経度"
"新橋二丁目公衆便所","東京都港区新橋二丁目20番4号","19690131","35.6658116","139.75216"
"新橋三丁目公衆便所","東京都港区新橋三丁目25番16号","19641009","35.6650229","139.7566097"
"天徳寺脇公衆便所","東京都港区虎ﾉ門三丁目13番3号","19291221","35.66442","139.7474855"
"正則学院前公衆便所","東京都港区虎ﾉ門三丁目22番1号先","19211016","35.661562","139.7481355"
"大門際公衆便所","東京都港区芝公園一丁目7番11号先","19320307","35.6575015","139.7521575"
"金杉橋際公衆便所","東京都港区芝一丁目1番26号","19291204","35.6529355","139.7545297"
"芝園橋際公衆便所","東京都港区芝三丁目4番9号","19260727","35.652877","139.7494912"
"芝四丁目公衆便所","東京都港区芝四丁目1番18号","19280216","35.6485914","139.7495136"
"三田図書館脇公衆便所","東京都港区芝五丁目28番4号","19331122","35.6470442","139.7452084"
"中ノ橋際公衆便所","東京都港区東麻布一丁目30番1号","19251018","35.655057","139.7418224"
"一ノ橋際公衆便所","東京都港区東麻布三丁目9番12号","19260902","35.655493","139.7374561"
"二ノ橋際公衆便所","東京都港区麻布十番四丁目6番5号先","19690401","35.6529766","139.7369562"
"古川橋際公衆便所","東京都港区南麻布二丁目15番11号","19720410","35.6507517","139.7305291"
"仙台坂上公衆便所","東京都港区南麻布三丁目3番41号先","19290413","35.6515738","139.7305235"
"南麻布三丁目公衆便所","東京都港区南麻布三丁目22番5号","19720410","35.6507517","139.7305291"
"十番通宮村町公衆便所","東京都港区元麻布三丁目11番1号","19511126","35.6570537","139.7325676"
"西麻布二丁目公衆便所","東京都港区西麻布二丁目1番2号","19780401","35.6641553","139.7198547"
"今井町公衆便所","東京都港区六本木二丁目1番32号先","19250401","35.6641222","139.729426"
"六本木三丁目公衆便所","東京都港区六本木三丁目15番25号","19720410","35.6626309","139.7350756"
"芋洗坂上公衆便所","東京都港区六本木五丁目8番1号","19260828","35.6641222","139.729426"
"永坂上公衆便所","東京都港区六本木五丁目18番6号","19060401","35.6641222","139.729426"
"権田原公衆便所","東京都港区元赤坂二丁目2番29号先","19380416","35.6781981","139.7206595"
"氷川神社前公衆便所","東京都港区赤坂六丁目10番18号","19080401","35.6749184","139.736775"
"高輪一丁目公衆便所","東京都港区高輪一丁目16番25号","19660630","35.641995","139.734192"
"老増町公衆便所","東京都港区白金一丁目28番8号","19250331","35.6436248","139.734129"
"三光坂下公衆便所","東京都港区白金四丁目3番7号先","19260330","35.6437969","139.730096"
"香取橋際公衆便所","東京都港区芝浦二丁目17番15号","19720104","35.6447252","139.7516357"
"田町駅東口公衆便所","東京都港区芝浦三丁目1番39号","19820401","35.6426949","139.749011"
"新芝橋際公衆便所","東京都港区芝浦三丁目5番40号先","19530331","35.6426949","139.749011"
"浦島橋際公衆便所","東京都港区海岸三丁目2番2号","19510301","35.6448587","139.7558326"
"品川駅港南口公衆便所","東京都港区港南二丁目14番24号","19730401","35.6290074","139.7413261"

"公衆便所一覧(令和4年4月1日現在)","Ver202204",,,
