"科目","合計[百万円]","固定資産等形成分[百万円]","余剰分（不足分）[百万円]","他団体出資等分[百万円]"
"年度","2017",,,
"期間（自）","20170401",,,
"期間（至）","20180331",,,
"前年度末純資産残高","3463455","3478803","-15351","3"
"本年度純資産変動額 本年度差額 純行政コスト","-166634",,"-166634","0"
"本年度純資産変動額 本年度差額 財源","185921",,"185921","0"
"本年度純資産変動額 本年度差額 財源 税収等","143293",,"143293","0"
"本年度純資産変動額 本年度差額 財源 国都等補助金","42628",,"42628","0"
"本年度純資産変動額 本年度差額","19287",,"19287","0"
"本年度純資産変動額 固定資産等の変動（内部変動）",,,,
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の増加",,,,
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の減少",,,,
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の増加",,,,
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の減少",,,,
"本年度純資産変動額 資産評価差額","0","0",,
"本年度純資産変動額 無償所管換等","1357","1357",,
"本年度純資産変動額 他団体出資等分の増加","0",,,"0"
"本年度純資産変動額 他団体出資等分の減少","0",,,"0"
"本年度純資産変動額 比例連結割合変更に伴う差額","969","15502","-14533","0"
"本年度純資産変動額 その他","4889","0","4889",
"本年度純資産変動額","26502","16859","9643","0"
"本年度末純資産残高","3489957","3495662","-5707","3"

"連結会計財務書類（純資産変動計算書）(平成29年4月1日から平成30年3月31日)","Ver201803",,,
