家族構成,設定数（人）,比率（％）,回収数（件）,比率（％）
全体,-,-,2304,100.0
単身,-,-,483,21.0
夫婦のみ,-,-,531,23.0
親子（親族の同居を含む）,-,-,1104,47.9
３世代（親族の同居を含む）,-,-,118,5.1
兄弟姉妹など親族世帯のみ,-,-,32,1.4
その他,-,-,36,1.6
