年齢別,設定数（人）,比率（％）,回収数（件）,比率（％）
全体,5124,100.0,2304,100.0
１５歳～１９歳,87,1.7,85,3.7
２０歳～２９歳,702,13.7,327,14.2
３０歳～３９歳,1075,21.0,412,17.9
４０歳～４９歳,1289,25.2,487,21.1
５０歳～５９歳,1094,21.4,479,20.8
６０歳～６４歳,362,7.1,231,10.0
６５歳以上,515,10.1,283,12.3
