年月日［西暦］,地区,町丁目,世帯数,人口男［人］,人口女［人］,人口合計［人］
20220101,芝地区総合支所管内,芝一丁目,1299,978,1036,2014
20220101,芝地区総合支所管内,芝二丁目,2177,1624,1807,3431
20220101,芝地区総合支所管内,芝三丁目,2170,1665,1842,3507
20220101,芝地区総合支所管内,芝四丁目,1386,1082,1204,2286
20220101,芝地区総合支所管内,芝五丁目,1941,1147,1582,2729
20220101,芝地区総合支所管内,海岸一丁目,1237,1042,1003,2045
20220101,芝地区総合支所管内,東新橋一丁目,800,697,766,1463
20220101,芝地区総合支所管内,東新橋二丁目,411,327,233,560
20220101,芝地区総合支所管内,新橋一丁目,7,5,5,10
20220101,芝地区総合支所管内,新橋二丁目,73,51,49,100
20220101,芝地区総合支所管内,新橋三丁目,101,90,82,172
20220101,芝地区総合支所管内,新橋四丁目,373,251,232,483
20220101,芝地区総合支所管内,新橋五丁目,738,492,439,931
20220101,芝地区総合支所管内,新橋六丁目,799,539,438,977
20220101,芝地区総合支所管内,西新橋一丁目,168,146,102,248
20220101,芝地区総合支所管内,西新橋二丁目,251,176,163,339
20220101,芝地区総合支所管内,西新橋三丁目,607,382,401,783
20220101,芝地区総合支所管内,三田一丁目,2334,1901,2233,4134
20220101,芝地区総合支所管内,三田二丁目,2394,2039,2464,4503
20220101,芝地区総合支所管内,三田三丁目,1050,792,851,1643
20220101,芝地区総合支所管内,浜松町一丁目,1344,1123,1093,2216
20220101,芝地区総合支所管内,浜松町二丁目,202,146,124,270
20220101,芝地区総合支所管内,芝大門一丁目,480,366,379,745
20220101,芝地区総合支所管内,芝大門二丁目,537,374,375,749
20220101,芝地区総合支所管内,芝公園一丁目,172,117,130,247
20220101,芝地区総合支所管内,芝公園二丁目,477,350,333,683
20220101,芝地区総合支所管内,芝公園三丁目,168,152,164,316
20220101,芝地区総合支所管内,芝公園四丁目,51,36,33,69
20220101,芝地区総合支所管内,虎ノ門一丁目,276,213,212,425
20220101,芝地区総合支所管内,虎ノ門二丁目,11,8,6,14
20220101,芝地区総合支所管内,虎ノ門三丁目,1174,893,969,1862
20220101,芝地区総合支所管内,虎ノ門四丁目,394,221,376,597
20220101,芝地区総合支所管内,虎ノ門五丁目,163,153,148,301
