"名称","流域","住所","配備袋数","備考","添付ファイル","経度","緯度","分類"
"金剛橋上流左岸橋詰プランター裏","神田川","中央2-37","50","一時","","139.679312389458","35.700729097988","土のう配備箇所"
"シルバー人材センター敷地内","神田川","中央2-22","100","一時","","139.680946188802","35.7008575998933","土のう配備箇所"
"川添公園内","神田川","東中野1-22","1000","長期","","139.68607864464","35.7033623122654","土のう配備箇所"
"けやき公園内","神田川","東中野5-13","100","長期","","139.689387997794","35.7084376773672","土のう配備箇所"
"あいおいポケットパーク内","神田川","本町1-1","50","一時","","139.684729206631","35.693545841171","土のう配備箇所"
"若の芽公園内","神田川","本町1-5","100","長期","","139.683311825041","35.6929087489589","土のう配備箇所"
"なかのはしポケットパーク内","神田川","弥生町1-26","100","長期","","139.679084543135","35.6924006043178","土のう配備箇所"
"旧向台小学校東側水防倉庫","神田川","弥生町1-25","1200","長期","","139.680105318089","35.6920635155907","土のう配備箇所"
"弥生町二丁目公園内","神田川","弥生町2-19","200","長期","","139.67469621829","35.6908998283631","土のう配備箇所"
"花見公園内","神田川","弥生町2-7","150","長期","","139.676541477916","35.6923245750638","土のう配備箇所"
"なかしん広場水防倉庫","神田川","本町3-2","800","長期","https://ss13.wgm.info-mapping.com/13114/file/土のう配備箇所/土のう倉庫（なかしん広場水防倉庫）.JPG","139.67453755065","35.693196634425","土のう配備箇所"
"区立二中東側水防倉庫","神田川","本町5-14","1580","長期","","139.672018596451","35.6923289568767","土のう配備箇所"
"千代田公園内","神田川","本町5-31","200","長期","https://ss13.wgm.info-mapping.com/13114/file/土のう配備箇所/土のうボックス（千代田公園内）.JPG","139.669537269587","35.6928747087004","土のう配備箇所"
"福祉施設地内","神田川","本町5-40","300","長期","","139.668034428395","35.6918653916749","土のう配備箇所"
"れんげ公園内","神田川","弥生町5-8","200","長期","","139.664950727576","35.6887504791803","土のう配備箇所"
"丸太公園北口入口","神田川","弥生町6-2","200","長期","","139.662437369251","35.6870252560051","土のう配備箇所"
"南中野中西側河川沿い","神田川","南台5-22","100","長期","","139.661773572225","35.6824285942761","土のう配備箇所"
"新井小学校北側路上","妙正寺川・江古田川","新井4-19","60","一時","","139.667871066935","35.7174121005997","土のう配備箇所"
"新井橋橋詰緑地","妙正寺川・江古田川","沼袋1-6","100","長期","https://ss13.wgm.info-mapping.com/13114/file/土のう配備箇所/土のうストッカー（新井橋橋詰緑地）.JPG","139.664492937641","35.7188596348952","土のう配備箇所"
"新道橋水防倉庫","妙正寺川・江古田川","沼袋3-1","1200","長期","","139.663122321074","35.7185709180833","土のう配備箇所"
"沼袋親和会倉庫","妙正寺川・江古田川","沼袋3-26-1","30","長期","","139.661573640948","35.7197419658782","土のう配備箇所"
"江古田公園水防倉庫","妙正寺川・江古田川","松が丘2-29","1500","長期","","139.671333205008","35.7228174894017","土のう配備箇所"
"江古田公園内","妙正寺川・江古田川","松が丘2-35","200","長期","","139.671159793315","35.7235361417263","土のう配備箇所"
"三谷橋置場","妙正寺川・江古田川","野方2-32","500","長期","","139.656965125069","35.7154718327054","土のう配備箇所"
"中野上高田公園北側倉庫","妙正寺川・江古田川","上高田5-9","1200","長期","","139.678116324034","35.7181443976535","土のう配備箇所"
"江古田川沿路上","妙正寺川・江古田川","江古田1-40","60","一時","","139.670150381391","35.7245677439638","土のう配備箇所"
"不動橋東側路上","妙正寺川・江古田川","江古田1-39","50","一時","","139.670206209466","35.7249927085875","土のう配備箇所"
"沼袋西公園内","妙正寺川・江古田川","沼袋3-15","100","長期","","139.659435216595","35.7166610536943","土のう配備箇所"
"新沼橋西側植栽脇","妙正寺川・江古田川","沼袋1-14","100","長期","https://ss13.wgm.info-mapping.com/13114/file/土のう配備箇所/土のうストッカー（新沼橋西側植栽脇）.JPG","139.668126108083","35.717760279523","土のう配備箇所"
"薬師橋左岸橋詰","妙正寺川・江古田川","沼袋1-1","50","一時","","139.667294393313","35.7174786529395","土のう配備箇所"
"双鷺橋下流左岸通路上","妙正寺川・江古田川","若宮3-57","200","一時","","139.64000789291","35.7213049775116","土のう配備箇所"
"わかさぎ公園内","妙正寺川・江古田川","若宮2-56","200","長期","","139.640253110431","35.7174466887185","土のう配備箇所"
"みはと公園内","妙正寺川・江古田川","大和町4-51","200","長期","","139.642050523661","35.7162153662423","土のう配備箇所"
"川北橋水防倉庫","妙正寺川・江古田川","大和町4-12","900","長期","","139.647306105429","35.7156917062447","土のう配備箇所"
"大和公園内南側道路沿い","妙正寺川・江古田川","大和町2-8","200","長期","","139.651577062564","35.7157146060697","土のう配備箇所"
