"全国地方公共団体コード","ID","地方公共団体名","分別区分","ゴミ区分","ゴミ分類区分","回収区分","指定ゴミ袋","ゴミ区分別説明URL"
"132225","132225GMKB000001","東久留米市","燃やせるごみ","","可燃ごみ","分別回収","指定収集袋（黄色）","https://www.city.higashikurume.lg.jp/kurashi/kankyo/shigen/gomishigen/1000818.html"
"132225","132225GMKB000002","東久留米市","燃やせないごみ","","不燃ごみ","分別回収","指定収集袋（青色）","https://www.city.higashikurume.lg.jp/kurashi/kankyo/shigen/gomishigen/1000819.html"
"132225","132225GMKB000003","東久留米市","粗大ごみ","","粗大ごみ","分別回収","","https://www.city.higashikurume.lg.jp/kurashi/kankyo/shigen/1018609.html"
"132225","132225GMKB000004","東久留米市","紙類・布類","紙パック","資源ごみ","分別回収","","https://www.city.higashikurume.lg.jp/kurashi/kankyo/shigen/gomishigen/1000829.html"
"132225","132225GMKB000005","東久留米市","紙類・布類","新聞紙","資源ごみ","分別回収","","https://www.city.higashikurume.lg.jp/kurashi/kankyo/shigen/gomishigen/1000829.html"
"132225","132225GMKB000006","東久留米市","紙類・布類","雑誌","資源ごみ","分別回収","","https://www.city.higashikurume.lg.jp/kurashi/kankyo/shigen/gomishigen/1000829.html"
"132225","132225GMKB000007","東久留米市","紙類・布類","段ボール","資源ごみ","分別回収","","https://www.city.higashikurume.lg.jp/kurashi/kankyo/shigen/gomishigen/1000829.html"
"132225","132225GMKB000008","東久留米市","紙類・布類","衣類・古布","資源ごみ","分別回収","","https://www.city.higashikurume.lg.jp/kurashi/kankyo/shigen/gomishigen/1000829.html"
"132225","132225GMKB000009","東久留米市","びん・缶","缶","資源ごみ","分別回収","","https://www.city.higashikurume.lg.jp/kurashi/kankyo/shigen/gomishigen/1000827.html"
"132225","132225GMKB000010","東久留米市","びん・缶","びん","資源ごみ","分別回収","","https://www.city.higashikurume.lg.jp/kurashi/kankyo/shigen/gomishigen/1000827.html"
"132225","132225GMKB000011","東久留米市","PETボトル","ペットボトル","資源ごみ","分別回収","","https://www.city.higashikurume.lg.jp/kurashi/kankyo/shigen/gomishigen/1000828.html"
"132225","132225GMKB000012","東久留米市","容器包装プラスチック","発泡スチロールトレイ","資源ごみ","分別回収","指定収集袋（透明）","https://www.city.higashikurume.lg.jp/kurashi/kankyo/shigen/gomishigen/1000816.html"
"132225","132225GMKB000013","東久留米市","剪定枝","剪定枝木","資源ごみ","分別回収","","https://www.city.higashikurume.lg.jp/kurashi/kankyo/shigen/gomishigen/1000833.html"
"132225","132225GMKB000014","東久留米市","小型家電回収ボックス","血圧計","資源ごみ","拠点回収","","https://www.city.higashikurume.lg.jp/kurashi/kankyo/shigen/gomishigen/1000813.html"
"132225","132225GMKB000015","東久留米市","小型家電回収ボックス","小型家電","資源ごみ","拠点回収","","https://www.city.higashikurume.lg.jp/kurashi/kankyo/shigen/gomishigen/1000813.html"
"132225","132225GMKB000016","東久留米市","有害ごみ","蛍光管","有害ごみ","分別回収","","https://www.city.higashikurume.lg.jp/kurashi/kankyo/shigen/gomishigen/1000822.html"
"132225","132225GMKB000017","東久留米市","有害ごみ","乾電池","有害ごみ","分別回収","","https://www.city.higashikurume.lg.jp/kurashi/kankyo/shigen/gomishigen/1000822.html"
"132225","132225GMKB000018","東久留米市","有害ごみ","スプレー缶","有害ごみ","分別回収","","https://www.city.higashikurume.lg.jp/kurashi/kankyo/shigen/gomishigen/1000822.html"
"132225","132225GMKB000019","東久留米市","有害ごみ","カセットボンベ","有害ごみ","分別回収","","https://www.city.higashikurume.lg.jp/kurashi/kankyo/shigen/gomishigen/1000822.html"
"132225","132225GMKB000020","東久留米市","有害ごみ","水銀体温計","有害ごみ","分別回収","","https://www.city.higashikurume.lg.jp/kurashi/kankyo/shigen/gomishigen/1000822.html"
"132225","132225GMKB000021","東久留米市","有害ごみ","ライター","有害ごみ","分別回収","","https://www.city.higashikurume.lg.jp/kurashi/kankyo/shigen/gomishigen/1000822.html"
