"選挙名称","合計[人]","開票率[%]","残票[票]","無効票[票]","按分切捨て票[票]","不足票[票]","不受理票[票]","投票者数[人]"
"平成28年6月12日執行　港区長選挙",43994,100,0,1139,0,0,0,45133

"平成28年6月12日執行 港区長選挙開票結果(確定)","Ver201606",,,,,,,
