"年度","生活相談[件]","生活保護申請[件]"
"2016","1066","345"
"2017","1037","243"
"2018","960","240"
"2019","1148","215"
"2020","1206","285"

"令和3年度港区行政資料集　生活相談状況","Ver202103",
