都税収入見込額,金額（億円）,金額割合（%）
固定資産税,13126,24.1
法人事業税,11355,20.9
個人都民税,9620,17.7
繰入地方消費税,6912,12.7
法人都民税,6641,12.2
都市計画税,2544,4.7
事業所税,1120,2.1
自動車税(種別割),1016,1.9
不動産取得税,803,1.5
個人事業税,543,1
軽油引取税,392,0.7
都たばこ税,156,0.3
自動車税(環境性能割),119,0.2
都民税利子割,70,0.1
宿泊税,22,0
ゴルフ場利用税,6,0
その他の税,0,0
