地域階層,地域コード,地域,総数／計（人）,総数／男（人）,総数／女（人）,主に仕事／小計（人）,主に仕事／自営農業が主／計（人）,主に仕事／自営農業が主／男（人）,主に仕事／自営農業が主／女（人）,主に仕事／勤務が主／計（人）,主に仕事／勤務が主／男（人）,主に仕事／勤務が主／女（人）,主に仕事／農業以外の自営業が主／計（人）,主に仕事／農業以外の自営業が主／男（人）,主に仕事／農業以外の自営業が主／女（人）,主に家事・育児／計（人）,主に家事・育児／男（人）,主に家事・育児／女（人）,学生／計（人）,学生／男（人）,学生／女（人）,その他／計（人）,その他／男（人）,その他／女（人）
0,13000,総数,19458,9736,9722,13945,9687,5998,3689,3182,1733,1449,1076,624,452,2325,23,2302,1603,825,778,1585,533,1052
1,13100,区部,3312,1637,1675,2343,1660,1012,648,476,260,216,207,111,96,387,5,382,313,154,159,269,95,174
4,13101,千代田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13102,中央区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13103,港区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13104,新宿区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13105,文京区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13106,台東区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13107,墨田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13108,江東区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13109,品川区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13110,目黒区,26,11,15,20,12,7,5,5,2,3,3,1,2,2,-,2,1,-,1,3,1,2
4,13111,大田区,25,13,12,18,13,7,6,3,2,1,2,1,1,4,-,4,2,2,-,1,1,-
4,13112,世田谷区,736,356,380,496,344,224,120,117,61,56,35,19,16,115,2,113,60,34,26,65,16,49
4,13113,渋谷区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13114,中野区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13115,杉並区,209,106,103,148,104,69,35,25,13,12,19,7,12,26,-,26,19,9,10,16,8,8
4,13116,豊島区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13117,北区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
