地域階層,地域コード,地域,総数／計（人）,総数／男（人）,総数／女（人）,29日以下／計（人）,29日以下／男（人）,29日以下／女（人）,30～59日／計（人）,30～59日／男（人）,30～59日／女（人）,60～99日／計（人）,60～99日／男（人）,60～99日／女（人）,100～149日／計（人）,100～149日／男（人）,100～149日／女（人）,150～199日／計（人）,150～199日／男（人）,150～199日／女（人）,200～249日／計（人）,200～249日／男（人）,200～249日／女（人）,250日以上／計（人）,250日以上／男（人）,250日以上／女（人）
0,13000,総数,14308,7885,6423,1801,730,1071,1259,498,761,1536,640,896,1476,645,831,1556,746,810,2002,1222,780,4678,3404,1274
1,13100,区部,2432,1308,1124,307,123,184,218,82,136,217,94,123,248,99,149,273,116,157,370,227,143,799,567,232
4,13101,千代田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13102,中央区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13103,港区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13104,新宿区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13105,文京区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13106,台東区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13107,墨田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13108,江東区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13109,品川区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13110,目黒区,22,10,12,7,2,5,-,-,-,2,1,1,2,1,1,3,1,2,3,2,1,5,3,2
4,13111,大田区,20,9,11,2,1,1,2,-,2,3,1,2,2,-,2,3,1,2,3,1,2,5,5,-
4,13112,世田谷区,553,292,261,88,32,56,53,16,37,42,15,27,60,19,41,55,21,34,77,46,31,178,143,35
4,13113,渋谷区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13114,中野区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13115,杉並区,157,85,72,17,6,11,23,7,16,16,5,11,12,5,7,28,17,11,18,11,7,43,34,9
4,13116,豊島区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13117,北区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13118,荒川区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13119,板橋区,79,44,35,11,4,7,9,3,6,7,4,3,13,6,7,9,6,3,9,6,3,21,15,6
4,13120,練馬区,807,442,365,97,46,51,70,26,44,71,33,38,89,40,49,95,35,60,125,85,40,260,177,83
4,13121,足立区,241,132,109,29,15,14,21,7,14,18,8,10,19,8,11,18,9,9,42,24,18,94,61,33
4,13122,葛飾区,223,121,102,15,5,10,25,14,11,24,12,12,11,6,5,24,9,15,45,26,19,79,49,30
4,13123,江戸川区,319,167,152,37,11,26,15,9,6,33,14,19,37,13,24,37,16,21,47,25,22,113,79,34
1,13200,市部,10538,5798,4740,1351,548,803,920,359,561,1202,487,715,1085,467,618,1106,521,585,1499,917,582,3375,2499,876
4,13201,八王子市,955,533,422,159,64,95,92,39,53,94,41,53,93,40,53,85,43,42,104,62,42,328,244,84
4,13202,立川市,768,418,350,104,38,66,78,31,47,80,33,47,72,28,44,77,35,42,111,63,48,246,190,56
4,13203,武蔵野市,176,92,84,21,7,14,14,4,10,25,4,21,17,6,11,32,17,15,39,31,8,28,23,5
4,13204,三鷹市,587,315,272,88,31,57,59,21,38,47,16,31,53,24,29,61,30,31,78,53,25,201,140,61
4,13205,青梅市,432,246,186,86,38,48,52,25,27,47,20,27,52,30,22,43,23,20,44,25,19,108,85,23
