地域階層,地域コード,地域,計（経営体）,農産物の販売なし（経営体）,50万円未満（経営体）,50～100万円未満（経営体）,100～200万円未満（経営体）,200～300万円未満（経営体）,300～500万円未満（経営体）,500～700万円未満（経営体）,700～1000万円未満（経営体）,1000～1500万円未満（経営体）,1500～2000万円未満（経営体）,2000～3000万円未満（経営体）,3000～5000万円未満（経営体）,5000～1億円未満（経営体）,1～3億円未満（経営体）,3～5億円未満（経営体）,5億円以上（経営体）
0,13000,東京都総数,6023,643,1395,953,961,612,603,315,227,157,49,56,38,10,2,-,2
1,13100,区部,959,38,192,182,190,97,111,48,47,26,8,9,7,2,-,-,2
4,13101,千代田区,2,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13102,中央区,6,-,-,-,-,-,-,-,-,2,-,1,3,-,-,-,-
4,13103,港区,1,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13104,新宿区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13105,文京区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13106,台東区,1,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13107,墨田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13108,江東区,1,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13109,品川区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13110,目黒区,8,-,1,2,4,-,-,-,1,-,-,-,-,-,-,-,-
4,13111,大田区,8,-,2,1,2,1,-,-,-,1,-,1,-,-,-,-,-
4,13112,世田谷区,212,4,38,54,52,22,28,6,4,1,1,1,-,-,-,-,1
4,13113,渋谷区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13114,中野区,9,-,2,3,2,-,1,-,1,-,-,-,-,-,-,-,-
