地域階層,地域コード,地域,計（経営体）,経営耕地なし（経営体）,0.3ha未満（経営体）,0.3～0.5ha未満（経営体）,0.5～1.0ha未満（経営体）,1.0～1.5ha未満（経営体）,1.5～2.0ha未満（経営体）,2.0～3.0ha未満（経営体）,3.0～5.0ha未満（経営体）,5.0～10.0ha未満（経営体）,10.0～20.0ha未満（経営体）,20.0～30.0ha未満（経営体）,30.0～50.0ha未満（経営体）,50.0～100.0ha未満（経営体）,100ha以上（経営体）,1経営体当たり経営耕地面積（a）
0,13000,東京都総数,6023,45,979,1827,2049,659,232,123,68,34,4,3,-,-,-,71
1,13100,区部,959,14,311,309,229,53,17,13,5,5,2,1,-,-,-,56.9
4,13101,千代田区,2,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13102,中央区,6,1,-,2,-,1,-,-,-,1,-,1,-,-,-,565.6
4,13103,港区,1,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13104,新宿区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13105,文京区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13106,台東区,1,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13107,墨田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13108,江東区,1,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13109,品川区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13110,目黒区,8,-,6,1,1,-,-,-,-,-,-,-,-,-,-,27.4
4,13111,大田区,8,-,4,1,2,1,-,-,-,-,-,-,-,-,-,43.5
