地域階層,地域コード,地域,総数／計（人）,総数／男（人）,総数／女（人）,15～19歳／計（人）,15～19歳／男（人）,15～19歳／女（人）,20～24歳／計（人）,20～24歳／男（人）,20～24歳／女（人）,25～29歳／計（人）,25～29歳／男（人）,25～29歳／女（人）,30～34歳／計（人）,30～34歳／男（人）,30～34歳／女（人）,35～39歳／計（人）,35～39歳／男（人）,35～39歳／女（人）,40～44歳／計（人）,40～44歳／男（人）,40～44歳／女（人）,45～49歳／計（人）,45～49歳／男（人）,45～49歳／女（人）,50～54歳／計（人）,50～54歳／男（人）,50～54歳／女（人）,55～59歳／計（人）,55～59歳／男（人）,55～59歳／女（人）,60～64歳／計（人）,60～64歳／男（人）,60～64歳／女（人）,65～69歳／計（人）,65～69歳／男（人）,65～69歳／女（人）,70～74歳／計（人）,70～74歳／男（人）,70～74歳／女（人）,75～79歳／計（人）,75～79歳／男（人）,75～79歳／女（人）,80～84歳／計（人）,80～84歳／男（人）,80～84歳／女（人）,85歳以上／計（人）,85歳以上／男（人）,85歳以上／女（人）
0,13000,総数,9681,5992,3689,1,-,1,37,31,6,159,130,29,222,181,41,266,213,53,408,287,121,507,346,161,747,478,269,920,566,354,1181,735,446,1198,733,465,1137,628,509,1182,651,531,1024,601,423,692,412,280
1,13100,区部,1660,1012,648,-,-,-,7,6,1,29,23,6,41,36,5,58,46,12,79,51,28,104,69,35,139,86,53,172,106,66,195,124,71,179,106,73,171,87,84,196,105,91,163,94,69,127,73,54
4,13101,千代田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13102,中央区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13103,港区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13104,新宿区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13105,文京区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13106,台東区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13107,墨田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13108,江東区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13109,品川区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13110,目黒区,12,7,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,1,-,2,1,1,1,1,-,-,-,-,1,-,1,2,1,1,-,-,-,4,3,1
4,13111,大田区,13,7,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,5,4,1,-,-,-,-,-,-,-,-,-,1,-,1,2,-,2,4,3,1,-,-,-
4,13112,世田谷区,344,224,120,-,-,-,2,2,-,8,7,1,10,8,2,17,13,4,8,8,-,21,14,7,22,15,7,44,27,17,46,34,12,50,29,21,28,18,10,41,23,18,22,11,11,25,15,10
4,13113,渋谷区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13114,中野区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13115,杉並区,104,69,35,-,-,-,-,-,-,1,1,-,4,4,-,1,1,-,12,9,3,1,1,-,7,5,2,8,5,3,14,9,5,13,9,4,10,3,7,18,12,6,9,6,3,6,4,2
4,13116,豊島区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13117,北区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13118,荒川区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13119,板橋区,54,32,22,-,-,-,1,1,-,1,-,1,1,-,1,4,3,1,2,2,-,2,2,-,4,2,2,3,1,2,6,3,3,5,3,2,5,3,2,6,2,4,5,5,-,9,5,4
4,13120,練馬区,563,341,222,-,-,-,2,2,-,15,12,3,12,11,1,14,13,1,13,9,4,35,22,13,49,30,19,67,40,27,68,46,22,59,36,23,54,30,24,68,33,35,68,42,26,39,15,24
4,13121,足立区,167,98,69,-,-,-,-,-,-,1,-,1,2,2,-,6,5,1,16,9,7,9,5,4,15,7,8,12,10,2,20,13,7,18,8,10,19,11,8,17,10,7,20,9,11,12,9,3
4,13122,葛飾区,173,97,76,-,-,-,-,-,-,3,3,-,4,4,-,6,5,1,10,6,4,11,8,3,14,8,6,18,9,9,21,11,10,15,9,6,17,7,10,17,5,12,19,10,9,18,12,6
4,13123,江戸川区,226,133,93,-,-,-,2,1,1,-,-,-,8,7,1,9,5,4,16,8,8,25,17,8,22,14,8,17,12,5,19,7,12,19,12,7,34,13,21,25,19,6,16,8,8,14,10,4
1,13200,市部,7041,4369,2672,1,-,1,27,23,4,120,98,22,173,140,33,190,154,36,305,218,87,376,258,118,554,357,197,685,421,264,859,537,322,840,524,316,841,461,380,830,455,375,732,421,311,508,302,206
4,13201,八王子市,595,387,208,-,-,-,-,-,-,4,4,-,11,9,2,11,8,3,19,12,7,32,21,11,48,34,14,56,35,21,70,45,25,74,54,20,75,45,30,62,34,28,78,45,33,55,41,14
4,13202,立川市,494,308,186,-,-,-,4,4,-,12,6,6,23,17,6,25,18,7,29,18,11,38,26,12,46,34,12,33,18,15,57,37,20,57,34,23,62,32,30,46,27,19,44,28,16,18,9,9
4,13203,武蔵野市,123,79,44,-,-,-,1,1,-,4,3,1,-,-,-,5,5,-,5,5,-,5,4,1,11,9,2,12,8,4,25,18,7,9,3,6,9,7,2,16,7,9,16,7,9,5,2,3
4,13204,三鷹市,384,239,145,-,-,-,-,-,-,9,8,1,13,12,1,11,8,3,25,18,7,28,19,9,39,25,14,35,22,13,41,29,12,51,29,22,47,26,21,36,17,19,28,14,14,21,12,9
4,13205,青梅市,240,158,82,-,-,-,1,1,-,1,1,-,3,2,1,3,3,-,8,7,1,5,4,1,8,5,3,14,8,6,30,18,12,37,29,8,39,19,20,32,23,9,36,22,14,23,16,7
4,13206,府中市,312,182,130,-,-,-,3,2,1,5,3,2,10,7,3,10,6,4,14,11,3,20,12,8,24,14,10,33,18,15,32,21,11,43,22,21,26,14,12,41,23,18,22,15,7,29,14,15
4,13207,昭島市,101,69,32,-,-,-,-,-,-,-,-,-,5,5,-,3,3,-,8,4,4,5,5,-,3,1,2,7,4,3,16,11,5,9,8,1,11,8,3,15,9,6,12,7,5,7,4,3
4,13208,調布市,283,194,89,-,-,-,2,2,-,5,5,-,7,6,1,8,8,-,15,12,3,13,8,5,28,22,6,27,19,8,40,28,12,37,21,16,32,21,11,32,20,12,22,13,9,15,9,6
4,13209,町田市,576,350,226,-,-,-,4,4,-,3,3,-,6,5,1,11,9,2,21,15,6,17,14,3,30,16,14,54,37,17,64,37,27,82,49,33,73,39,34,84,47,37,72,44,28,55,31,24
4,13210,小金井市,159,106,53,-,-,-,-,-,-,3,3,-,3,3,-,6,6,-,4,2,2,9,6,3,13,11,2,15,10,5,21,16,5,17,10,7,13,8,5,20,10,10,21,15,6,14,6,8
4,13211,小平市,379,232,147,-,-,-,1,1,-,4,3,1,11,10,1,9,8,1,10,8,2,16,11,5,30,19,11,41,26,15,66,39,27,36,22,14,52,34,18,31,15,16,38,18,20,34,18,16
4,13212,日野市,239,148,91,1,-,1,-,-,-,4,3,1,2,2,-,5,5,-,5,3,2,6,4,2,17,9,8,25,17,8,28,16,12,40,29,11,32,18,14,28,15,13,31,18,13,15,9,6
4,13213,東村山市,350,208,142,-,-,-,-,-,-,5,4,1,13,9,4,16,12,4,20,16,4,23,14,9,19,13,6,34,16,18,52,30,22,39,25,14,33,17,16,40,20,20,36,23,13,20,9,11
4,13214,国分寺市,326,205,121,-,-,-,2,1,1,9,8,1,8,8,-,9,8,1,17,14,3,18,14,4,29,17,12,40,28,12,45,26,19,32,18,14,30,20,10,31,15,16,29,15,14,27,13,14
