地域階層,地域コード,都道府県,男女計（人）,男女計／男（人）,男女計／女（人）,年齢階層別／15～29歳（人）,年齢階層別／30～34歳（人）,年齢階層別／35～39歳（人）,年齢階層別／40～44歳（人）,年齢階層別／45～49歳（人）,年齢階層別／50～54歳（人）,年齢階層別／55～59歳（人）,年齢階層別／60～64歳（人）,年齢階層別／65～69歳（人）,年齢階層別／70～74歳（人）,年齢階層別／75～79歳（人）,年齢階層別／80～84歳（人）,年齢階層別／85歳以上（人）,平均年齢（歳）
1,35,山口,28306,13716,14590,497,218,261,341,323,525,1201,3160,5411,5272,4920,3875,2302,70.3
1,36,徳島,30217,15285,14932,695,484,598,712,779,1123,2111,4393,5497,4283,4333,3341,1868,66.8
1,37,香川,30383,15185,15198,834,275,420,466,456,768,1535,3734,5856,4980,4981,3847,2231,68.7
1,38,愛媛,41104,21335,19769,896,420,684,828,1077,1531,2524,5250,7235,6711,6569,4803,2576,67.8
1,39,高知,27161,14400,12761,782,577,736,961,980,1399,2113,3474,4375,3877,3700,2763,1424,65
1,40,福岡,56950,29202,27748,2210,1006,1357,1585,1950,2814,4149,7568,9300,8603,7929,5607,2872,65
1,41,佐賀,26244,13790,12454,687,572,682,746,916,1461,2252,3808,4119,3674,3790,2439,1098,64.9
1,42,長崎,34440,18520,15920,1026,752,815,1001,1310,2062,2982,4603,5044,4865,5030,3422,1528,64.9
1,43,熊本,71900,38811,33089,2396,1585,1902,2258,3074,4309,6093,9476,10878,10191,10253,6732,2753,64.2
1,44,大分,35208,18521,16687,748,363,473,520,641,1028,2112,4377,6072,5984,6162,4574,2154,68.7
1,45,宮崎,45001,24048,20953,1201,948,1161,1287,1604,2666,4005,5895,6433,6363,6753,4643,2042,65.1
1,46,鹿児島,57881,31946,25935,1479,901,1135,1504,1926,3031,4802,7356,7885,8611,10037,6619,2595,66.3
1,47,沖縄,19916,12477,7439,616,305,417,566,752,1255,2101,3143,2722,2548,2736,1901,854,64.5
,,,,,,,,,,,,,,,,,,,
2015年農林業センサス,,,,,,,,,,,,,,,,,,,
第11表　都道府県別農業就業人口（販売農家）,,,,,,,,,,,,,,,,,,,
地域階層（0：総数　1：都道府県）,,,,,,,,,,,,,,,,,,,
