地域階層,地域コード,地域,計／栽培実経営体数（経営体）,計／露地／栽培経営体数（経営体）,計／露地／栽培面積（a）,計／施設／栽培経営体数（経営体）,計／施設／栽培面積（a）,品目別栽培経営体数／温州みかん（経営体）,品目別栽培経営体数／その他のかんきつ類（経営体）,品目別栽培経営体数／りんご（経営体）,品目別栽培経営体数／ぶどう（経営体）,品目別栽培経営体数／日本なし（経営体）,品目別栽培経営体数／西洋なし（経営体）,品目別栽培経営体数／もも（経営体）,品目別栽培経営体数／おうとう（経営体）,品目別栽培経営体数／びわ（経営体）,品目別栽培経営体数／かき（経営体）,品目別栽培経営体数／くり（経営体）,品目別栽培経営体数／うめ（経営体）,品目別栽培経営体数／すもも（経営体）,品目別栽培経営体数／キウイフルーツ（経営体）,品目別栽培経営体数／パインアップル（経営体）,品目別栽培経営体数／その他の果樹（経営体）
0,13000,東京都総数,2183,2152,54874,108,911,391,231,48,256,258,3,35,4,51,793,843,600,82,367,4,627
1,13100,区部,Ｘ,303,6871,Ｘ,Ｘ,84,53,Ｘ,52,3,-,7,Ｘ,9,130,69,89,Ｘ,47,-,89
4,13101,千代田区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13102,中央区,1,1,Ｘ,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13103,港区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13104,新宿区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13105,文京区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13106,台東区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13107,墨田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13108,江東区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13109,品川区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13110,目黒区,5,5,Ｘ,-,-,2,1,1,3,-,-,-,-,1,2,2,2,1,2,-,1
4,13111,大田区,2,1,Ｘ,1,Ｘ,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
4,13112,世田谷区,98,97,Ｘ,3,Ｘ,28,23,4,13,2,-,2,-,2,33,32,30,2,12,-,25
4,13113,渋谷区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13114,中野区,2,2,Ｘ,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-
4,13115,杉並区,27,27,Ｘ,-,-,5,2,-,1,-,-,-,-,1,13,7,10,-,6,-,7
4,13116,豊島区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13117,北区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13118,荒川区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13119,板橋区,15,15,Ｘ,-,-,5,2,1,1,-,-,-,-,1,9,1,6,-,1,-,1
4,13120,練馬区,132,130,Ｘ,2,Ｘ,30,16,-,29,-,-,4,-,2,63,22,31,2,21,-,46
4,13121,足立区,6,6,Ｘ,1,Ｘ,4,1,-,2,-,-,1,-,1,2,1,2,1,1,-,2
4,13122,葛飾区,8,7,Ｘ,1,Ｘ,2,4,-,1,-,-,-,-,-,4,2,2,1,2,-,1
4,13123,江戸川区,10,10,Ｘ,1,Ｘ,5,2,1,1,1,-,-,-,1,3,2,4,2,1,-,4
1,13200,市部,1758,1750,45886,60,485,297,153,38,198,251,3,26,Ｘ,39,646,741,492,68,311,-,468
4,13201,八王子市,154,154,Ｘ,4,Ｘ,5,6,3,2,3,-,-,-,1,18,99,68,2,11,-,35
4,13202,立川市,76,75,Ｘ,4,Ｘ,14,8,2,5,9,-,2,-,2,29,27,24,2,22,-,22
4,13203,武蔵野市,28,28,Ｘ,-,-,3,2,-,4,4,-,-,-,-,16,6,4,3,6,-,9
4,13204,三鷹市,Ｘ,97,Ｘ,Ｘ,Ｘ,34,16,2,20,2,-,1,Ｘ,7,47,28,21,6,35,-,49
4,13205,青梅市,62,62,Ｘ,1,Ｘ,7,8,1,2,2,-,2,-,2,15,27,20,2,22,-,20
4,13206,府中市,57,57,Ｘ,3,Ｘ,7,6,1,6,14,-,1,-,1,26,20,5,4,14,-,17
4,13207,昭島市,27,27,Ｘ,1,Ｘ,4,-,-,-,8,-,1,-,1,8,10,9,-,3,-,3
4,13208,調布市,56,56,Ｘ,8,Ｘ,12,5,-,12,2,-,-,-,3,18,16,16,1,7,-,17
4,13209,町田市,182,181,Ｘ,3,Ｘ,43,17,1,8,2,-,1,-,4,92,108,69,2,25,-,39
4,13210,小金井市,59,57,Ｘ,5,Ｘ,15,12,1,3,2,-,-,-,1,26,35,13,3,20,-,17
4,13211,小平市,Ｘ,129,Ｘ,Ｘ,Ｘ,17,5,Ｘ,19,22,-,1,-,-,46,58,32,9,23,-,33
4,13212,日野市,70,70,Ｘ,-,-,10,4,4,11,18,-,1,-,2,21,20,13,3,6,-,25
4,13213,東村山市,118,117,Ｘ,9,Ｘ,10,5,3,11,30,1,3,-,-,39,57,31,3,29,-,24
4,13214,国分寺市,63,63,Ｘ,-,-,10,7,1,3,-,1,-,-,4,29,25,17,4,11,-,35
4,13215,国立市,19,18,Ｘ,1,Ｘ,2,1,-,2,2,-,1,-,-,8,3,7,-,2,-,5
4,13218,福生市,8,8,Ｘ,-,-,-,3,2,2,-,-,-,-,1,1,2,3,-,2,-,3
4,13219,狛江市,30,30,Ｘ,-,-,11,5,-,-,-,-,-,-,-,18,4,5,1,7,-,11
4,13220,東大和市,39,39,Ｘ,2,Ｘ,9,-,2,2,10,-,-,-,-,9,19,3,-,2,-,5
4,13221,清瀬市,41,41,Ｘ,1,Ｘ,5,5,2,3,3,-,2,-,-,9,20,8,1,4,-,14
4,13222,東久留米市,Ｘ,67,Ｘ,Ｘ,Ｘ,7,1,-,5,3,-,1,-,-,34,29,17,Ｘ,9,-,18
4,13223,武蔵村山市,44,44,Ｘ,-,-,11,3,4,2,4,1,-,-,-,8,25,6,1,7,-,9
4,13224,多摩市,19,19,Ｘ,-,-,9,6,-,1,-,-,-,-,4,12,11,14,4,4,-,11
4,13225,稲城市,146,146,Ｘ,2,Ｘ,21,7,-,60,95,-,6,-,2,42,19,30,6,11,-,20
4,13227,羽村市,15,15,Ｘ,-,-,3,3,1,1,-,-,1,-,-,9,3,5,-,3,-,4
