地域階層,地域コード,地域,販売のあった経営体（経営体）,単一経営（主位部門が80％以上の経営体）／計（経営体）,単一経営（主位部門が80％以上の経営体）／稲作（経営体）,単一経営（主位部門が80％以上の経営体）／麦類作（経営体）,単一経営（主位部門が80％以上の経営体）／雑穀・いも類・豆類（経営体）,単一経営（主位部門が80％以上の経営体）／工芸農作物（経営体）,単一経営（主位部門が80％以上の経営体）／露地野菜（経営体）,単一経営（主位部門が80％以上の経営体）／施設野菜（経営体）,単一経営（主位部門が80％以上の経営体）／果樹類（経営体）,単一経営（主位部門が80％以上の経営体）／花き・花木（経営体）,単一経営（主位部門が80％以上の経営体）／その他の作物（経営体）,単一経営（主位部門が80％以上の経営体）／酪農（経営体）,単一経営（主位部門が80％以上の経営体）／肉用牛（経営体）,単一経営（主位部門が80％以上の経営体）／養豚（経営体）,単一経営（主位部門が80％以上の経営体）／養鶏（経営体）,単一経営（主位部門が80％以上の経営体）／養蚕（経営体）,単一経営（主位部門が80％以上の経営体）／その他の畜産（経営体）,複合経営（主位部門が80％未満の経営体）（経営体）
0,13000,東京都総数,5380,3638,46,2,41,70,1813,114,615,778,81,43,11,5,12,2,5,1742
1,13100,区部,921,665,20,-,6,1,386,67,77,92,12,1,-,1,-,-,2,256
4,13101,千代田区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13102,中央区,6,6,-,-,-,-,1,3,1,-,-,-,-,-,-,-,1,-
4,13103,港区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13104,新宿区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13105,文京区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13106,台東区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13107,墨田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13108,江東区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
