所管局,手続等名称,電子申請受付件数,利用率　%
建設局,スポーツレクリエーション施設申込,"1,869,330",96.9 
主税局,法人事業税・法人都民税の電子申告,"296,002",43.1 
警視庁,自動車保有関係手続のワンストップサービス,"145,665",24.7 
水道局,（水道）使用開始・中止申込,"113,472",5.0 
水道局,クレジット申込書送付受付,"106,224",46.0 
主税局,固定資産税(償却資産)の電子申告,"52,854",21.9 
教育庁,教員免状授与申請,"37,295",93.2 
水道局,口座振替申込書送付受付,"35,880",15.1 
主税局,法人設立・設置届出書,"32,566",18.4 
財務局,東京都電子調達システム（入札関係）,"24,506",72.3 
港湾局,係留施設の一般使用許可（小型船）,"19,286",96.2 
東京消防庁,東京消防庁採用試験インターネット受付,"18,342",100.0 
港湾局,東京港岸壁さん橋使用及び入港手続,"16,559",99.4 
教育庁,東京都公立学校教員採用候補者選考申込,"15,898",83.0 
