所管局,手続等名称,電子申請受付件数,利用率　%
建設局,スポーツレクリエーション施設申込,"1,869,056",99
主税局,法人事業税・法人都民税の電子申告,"331,443",47.5
警視庁,自動車保有関係手続のワンストップサービス,"132,020",23.9
水道局,クレジット申込書送付受付,"118,456",80.7
水道局,（水道）使用開始・中止申込,"96,235",4.2
主税局,固定資産税(償却資産)の電子申告,"64,407",25.5
主税局,法人設立・設置届出書,"41,795",23.2
水道局,口座振替申込書送付受付,"40,489",20.7
教育庁,教員免状授与申請,"36,895",92.5
財務局,東京都電子調達システム（入札関係）,"26,285",64.6
港湾局,係留施設の一般使用許可（小型船）,"19,378",98.2
東京消防庁,東京消防庁採用試験インターネット受付,"18,616",70.7
港湾局,東京港岸壁さん橋使用及び入港手続,"16,730",100
財務局,東京都電子調達システム（資格審査関係）,"16,439",100
,,,
