所管局,手続等名称,電子申請受付件数,利用率　%
建設局,スポーツレクリエーション施設申込,"1,910,335",98.8
主税局,法人事業税・法人都民税の電子申告,"369,695",51.9
警視庁,自動車保有関係手続のワンストップサービス,"129,491",23.2
水道局,クレジット申込書送付受付,"107,012",64.4
水道局,（水道）使用開始・中止申込,"100,339",4.3
主税局,固定資産税(償却資産)の電子申告,"79,565",30.4
主税局,法人設立・設置届出書,"51,144",27.2
水道局,口座振替申込書送付受付,"47,025",23.6
財務局,東京都電子調達システム（入札関係）,"26,811",68.4
東京消防庁,東京消防庁採用試験インターネット受付,"18,619",73.3
港湾局,係留施設の一般使用許可（小型船）,"18,115",95.7
港湾局,東京港岸壁さん橋使用及び入港手続,"16,313",99.6
教育庁,東京都公立学校教員採用候補者選考申込,"15,405",100
産業労働局,キャリアアップ講習インターネット申込み,"10,628",58.5
水道局,クレジット継続払い受付,"10,247",4.8
