"運行ルート","行き先","停留所番号","停留所名","時刻1","時刻2","時刻3","時刻4","時刻5","時刻6","時刻7","時刻8","時刻9","時刻10","時刻11","時刻12","時刻13","時刻14","時刻15","時刻16","時刻17","時刻18","時刻19","時刻20","時刻21","時刻22","時刻23"
"芝ルート","みなとパーク芝浦","58","新橋駅","7:56","8:26","8:56","9:26","9:56","10:29","10:56","11:29","11:56","12:29","12:56","13:29","13:56","14:29","14:56","15:29","15:56","16:29","16:56","17:29","17:56","18:29","18:56"
"芝ルート","みなとパーク芝浦","59","新橋駅北口","7:58","8:28","8:58","9:28","9:58","10:31","10:58","11:31","11:58","12:31","12:58","13:31","13:58","14:31","14:58","15:31","15:58","16:31","16:58","17:31","17:58","18:31","18:58"
"芝ルート","みなとパーク芝浦","60","西新橋二丁目","8:01","8:31","9:01","9:31","10:01","10:34","11:01","11:34","12:01","12:34","13:01","13:34","14:01","14:34","15:01","15:34","16:01","16:34","17:01","17:34","18:01","18:34","19:01"
"芝ルート","みなとパーク芝浦","61","虎ノ門一丁目","8:03","8:33","9:03","9:33","10:03","10:36","11:03","11:36","12:03","12:36","13:03","13:36","14:03","14:36","15:03","15:36","16:03","16:36","17:03","17:36","18:03","18:36","19:03"
"芝ルート","みなとパーク芝浦","62","虎ノ門二丁目","8:09","8:39","9:09","9:39","10:09","10:42","11:09","11:42","12:09","12:42","13:09","13:42","14:09","14:42","15:09","15:42","16:09","16:42","17:09","17:42","18:09","18:42","19:09"
"芝ルート","みなとパーク芝浦","63","愛宕一丁目","8:12","8:42","9:12","9:42","10:12","10:45","11:12","11:45","12:12","12:45","13:12","13:45","14:12","14:45","15:12","15:45","16:12","16:45","17:12","17:45","18:12","18:45","19:12"
"芝ルート","みなとパーク芝浦","65","慈恵医大病院入口","8:15","8:45","9:15","9:45","10:15","10:48","11:15","11:48","12:15","12:48","13:15","13:48","14:15","14:48","15:15","15:48","16:15","16:48","17:15","17:48","18:15","18:48","19:15"
"芝ルート","みなとパーク芝浦","66","愛宕警察署","8:17","8:47","9:17","9:47","10:17","10:50","11:17","11:50","12:17","12:50","13:17","13:50","14:17","14:50","15:17","15:50","16:17","16:50","17:17","17:50","18:17","18:50","19:17"
"芝ルート","みなとパーク芝浦","67","御成門駅","8:19","8:49","9:19","9:49","10:19","10:52","11:19","11:52","12:19","12:52","13:19","13:52","14:19","14:52","15:19","15:52","16:19","16:52","17:19","17:52","18:19","18:52","19:19"
"芝ルート","みなとパーク芝浦","68","港区役所","8:22","8:52","9:22","9:52","10:22","10:55","11:22","11:55","12:22","12:55","13:22","13:55","14:22","14:55","15:22","15:55","16:22","16:55","17:22","17:55","18:22","18:55","19:22"
"芝ルート","みなとパーク芝浦","69","芝公園駅","8:23","8:53","9:23","9:53","10:23","10:56","11:23","11:56","12:23","12:56","13:23","13:56","14:23","14:56","15:23","15:56","16:23","16:56","17:23","17:56","18:23","18:56","19:23"
"芝ルート","みなとパーク芝浦","69-2","芝園橋","8:25","8:55","9:25","9:55","10:25","10:58","11:25","11:58","12:25","12:58","13:25","13:58","14:25","14:58","15:25","15:58","16:25","16:58","17:25","17:58","18:25","18:58","19:25"
"芝ルート","みなとパーク芝浦","70","金杉橋","8:27","8:57","9:27","9:57","10:27","11:00","11:27","12:00","12:27","13:00","13:27","14:00","14:27","15:00","15:27","16:00","16:27","17:00","17:27","18:00","18:27","19:00","19:27"
"芝ルート","みなとパーク芝浦","71","芝一丁目","8:30","9:00","9:30","10:00","10:30","11:03","11:30","12:03","12:30","13:03","13:30","14:03","14:30","15:03","15:30","16:03","16:30","17:03","17:30","18:03","18:30","19:03","19:30"
"芝ルート","みなとパーク芝浦","72","芝四丁目","8:32","9:02","9:32","10:02","10:32","11:05","11:32","12:05","12:32","13:05","13:32","14:05","14:32","15:05","15:32","16:05","16:32","17:05","17:32","18:05","18:32","19:05","19:32"
"芝ルート","みなとパーク芝浦","28","三田線三田駅前","8:33","9:03","9:33","10:03","10:33","11:06","11:33","12:06","12:33","13:06","13:33","14:06","14:33","15:06","15:33","16:06","16:33","17:06","17:33","18:06","18:33","19:06","19:33"
"芝ルート","みなとパーク芝浦","29","浅草線三田駅前","8:34","9:04","9:34","10:04","10:34","11:07","11:34","12:07","12:34","13:07","13:34","14:07","14:34","15:07","15:34","16:07","16:34","17:07","17:34","18:07","18:34","19:07","19:34"
"芝ルート","みなとパーク芝浦","30","田町駅西口","8:35","9:05","9:35","10:05","10:35","11:08","11:35","12:08","12:35","13:08","13:35","14:08","14:35","15:08","15:35","16:08","16:35","17:08","17:35","18:08","18:35","19:08","19:35"
"芝ルート","みなとパーク芝浦","31","藻塩橋","8:37","9:07","9:37","10:07","10:37","11:10","11:37","12:10","12:37","13:10","13:37","14:10","14:37","15:10","15:37","16:10","16:37","17:10","17:37","18:10","18:37","19:10","19:37"
"芝ルート","みなとパーク芝浦","1","田町駅東口","8:39","9:09","9:39","10:09","10:39","11:12","11:39","12:12","12:39","13:12","13:39","14:12","14:39","15:12","15:39","16:12","16:39","17:12","17:39","18:12","18:39","19:12","19:39"
"芝ルート","みなとパーク芝浦","163","みなとパーク芝浦","8:44","9:14","9:44","10:14","10:44","11:17","11:44","12:17","12:44","13:17","13:44","14:17","14:44","15:17","15:44","16:17","16:44","17:17","17:44","18:17","18:44","19:17","19:44"

"ちぃばす時刻表　芝ルート みなとパーク芝浦行き（土曜日・日曜日及び祝祭日）","Ver202211",,,,,,,,,,,,,,,,,,,,,,,,,
