"年度[西暦]","道路反射鏡[本]","歩行者用防護柵[メートル]","転落防止柵[メートル]","道路標識[本]"
"2019","856","55513","2225","562"
"2020","847","56659","2225","566"
"2021","852","56556","2227","568"
"2022","868","57274","2223","582"
"2023","889","57821","2225","590"

"令和5年度港区行政資料集　交通安全施設","Ver202304",,,
