地域階層,地域コード,地域,人口／総数,人口／男,人口／女,性比（女100に対する男の割合）,人口総数に対する割合（％）,面積（ｋm2）注１）,人口密度（1ｋm2当たり）,前月人口との増減,＜参考値＞世帯数
0,13000,総数,14020770,6881019,7139751,96.4,100,2194.05,6390,-5367,7257789
1,13100,区部,9699803,4755403,4944400,96.2,69.18,627.53,15457,-5456,5225660
1,13200,市部,4241749,2085452,2156297,96.7,30.25,783.95,5411,119,1997432
2,13300,郡部,55055,27394,27661,99,0.39,375.86,146,-21,21967
2,13350,島部,24163,12770,11393,112.1,0.17,406.7,59,-9,12730
1,13100,区部,9699803,4755403,4944400,96.2,69.18,627.53,15457,-5456,5225660
4,13101,千代田区,66783,33629,33154,101.4,0.48,11.66,5728,-30,37091
4,13102,中央区,170589,81563,89026,91.6,1.22,10.21,16708,41,93726
4,13103,港区,258658,122335,136323,89.7,1.84,20.37,12698,-56,145457
4,13104,新宿区,347498,173923,173575,100.2,2.48,18.22,19072,-387,222629
4,13105,文京区,240093,115478,124615,92.7,1.71,11.29,21266,101,133838
4,13106,台東区,212217,108915,103302,105.4,1.51,10.11,20991,67,126053
4,13107,墨田区,272655,134933,137722,98,1.94,13.77,19801,7,147563
4,13108,江東区,524387,257827,266560,96.7,3.74,42.99,12198,-303,266414
4,13109,品川区,420068,207225,212843,97.4,3,22.84,18392,82,236503
4,13110,目黒区,285834,134517,151317,88.9,2.04,14.67,19484,-368,154652
4,13111,大田区,743070,370159,372911,99.3,5.3,61.86,12012,-582,399410
4,13112,世田谷区,939911,443550,496361,89.4,6.7,58.05,16191,-538,491453
4,13113,渋谷区,242913,117376,125537,93.5,1.73,15.11,16076,-122,149605
4,13114,中野区,343606,171665,171941,99.8,2.45,15.59,22040,-196,207608
4,13115,杉並区,588318,282990,305328,92.7,4.2,34.06,17273,-741,335347
4,13116,豊島区,299724,150202,149522,100.5,2.14,13.01,23038,-476,183530
4,13117,北区,353600,175597,178003,98.6,2.52,20.61,17157,-137,189943
4,13118,荒川区,217357,107632,109725,98.1,1.55,10.16,21393,-99,112722
4,13119,板橋区,582389,284822,297567,95.7,4.15,32.22,18075,-272,315880
4,13120,練馬区,751712,361180,390532,92.5,5.36,48.08,15635,-440,376629
4,13121,足立区,693860,346553,347307,99.8,4.95,53.25,13030,-185,348787
4,13122,葛飾区,451163,224670,226493,99.2,3.22,34.8,12964,-327,217141
4,13123,江戸川区,693398,348662,344736,101.1,4.95,49.9,13896,-495,333679
1,13200,市部,4241749,2085452,2156297,96.7,30.25,783.95,5411,119,1997432
4,13201,八王子市,579972,291545,288427,101.1,4.14,186.38,3112,30,270673
4,13202,立川市,184263,91370,92893,98.4,1.31,24.36,7564,91,90955
4,13203,武蔵野市,150725,72113,78612,91.7,1.08,10.98,13727,40,78542
