階層コード,地域コード,地域,人口総数／令和3年5月１日,人口総数／令和2年5月１日,人口総数／令和元年5月１日,前年同月との比較／増減数,前年同月との比較／増減率（％）,前々年同月との比較／増減数,前々年同月との比較／増減率（％）
0,13000,総数,14039541,14074043,13976716,-34502,-0.25,62825,0.45
1,13100,区部,9718579,9757697,9671193,-39118,-0.4,47386,0.49
1,13200,市部,4241556,4236170,4224113,5386,0.13,17443,0.41
1,13300,郡部,55158,55649,56393,-491,-0.88,-1235,-2.19
1,13350,島部,24248,24527,25017,-279,-1.14,-769,-3.07
,,,,,,,,,
東京都の人口（推計）(補正)_令和3年5月,,,,,,,,,
＜参考＞前年同月及び前々年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
