階層コード,地域コード,地域,人口総数／令和3年4月１日,人口総数／令和2年4月１日,人口総数／平成31年4月１日,前年同月との比較／増減数,前年同月との比較／増減率（％）,前々年同月との比較／増減数,前々年同月との比較／増減率（％）
0,13000,総数,14033664,14051889,13938712,-18225,-0.13,94952,0.68
1,13100,区部,9717683,9741595,9643146,-23912,-0.25,74537,0.77
1,13200,市部,4236932,4230391,4214542,6541,0.15,22390,0.53
1,13300,郡部,55221,55703,56378,-482,-0.87,-1157,-2.05
1,13350,島部,23828,24200,24646,-372,-1.54,-818,-3.32
,,,,,,,,,
東京都の人口（推計）(補正)_令和3年4月,,,,,,,,,
＜参考＞前年同月及び前々年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
