地域階層,地域コード,地域,人口／総数,人口／男,人口／女,性比（女100に対する男の割合）,人口総数に対する割合（％）,面積（ｋm2）注１）,人口密度（1ｋm2当たり）,前月人口との増減,＜参考値＞世帯数
0,13000,総数,14026137,6884098,7142039,96.4,100,2194.05,6393,-5907,7260200
1,13100,区部,9705259,4758328,4946931,96.2,69.19,627.53,15466,-5788,5228514
1,13200,市部,4241630,2085584,2156046,96.7,30.24,783.95,5411,-91,1996999
2,13300,郡部,55076,27416,27660,99.1,0.39,375.86,147,-26,21952
2,13350,島部,24172,12770,11402,112,0.17,406.7,59,-2,12735
1,13100,区部,9705259,4758328,4946931,96.2,69.19,627.53,15466,-5788,5228514
4,13101,千代田区,66813,33647,33166,101.5,0.48,11.66,5730,-35,37107
4,13102,中央区,170548,81584,88964,91.7,1.22,10.21,16704,64,93711
4,13103,港区,258714,122372,136342,89.8,1.84,20.37,12701,-322,145478
4,13104,新宿区,347885,174076,173809,100.2,2.48,18.22,19094,-586,222960
4,13105,文京区,239992,115442,124550,92.7,1.71,11.29,21257,101,133858
4,13106,台東区,212150,108864,103286,105.4,1.51,10.11,20984,-16,125946
4,13107,墨田区,272648,134904,137744,97.9,1.94,13.77,19800,128,147486
4,13108,江東区,524690,258001,266689,96.7,3.74,42.99,12205,-64,266519
4,13109,品川区,419986,207188,212798,97.4,2.99,22.84,18388,-299,236455
4,13110,目黒区,286202,134771,151431,89,2.04,14.67,19509,-390,154886
4,13111,大田区,743652,370448,373204,99.3,5.3,61.86,12022,-683,399629
4,13112,世田谷区,940449,443790,496659,89.4,6.7,58.05,16201,-715,491785
4,13113,渋谷区,243035,117453,125582,93.5,1.73,15.11,16084,-181,149721
4,13114,中野区,343802,171799,172003,99.9,2.45,15.59,22053,-330,207814
4,13115,杉並区,589059,283342,305717,92.7,4.2,34.06,17295,-360,335944
4,13116,豊島区,300200,150428,149772,100.4,2.14,13.01,23075,-74,183847
4,13117,北区,353737,175649,178088,98.6,2.52,20.61,17163,-224,189972
4,13118,荒川区,217456,107665,109791,98.1,1.55,10.16,21403,104,112717
4,13119,板橋区,582661,284918,297743,95.7,4.15,32.22,18084,-352,315977
4,13120,練馬区,752152,361365,390787,92.5,5.36,48.08,15644,-365,376751
4,13121,足立区,694045,346747,347298,99.8,4.95,53.25,13034,-330,348769
4,13122,葛飾区,451490,224864,226626,99.2,3.22,34.8,12974,-260,217298
4,13123,江戸川区,693893,349011,344882,101.2,4.95,49.9,13906,-599,333884
1,13200,市部,4241630,2085584,2156046,96.7,30.24,783.95,5411,-91,1996999
4,13201,八王子市,579942,291607,288335,101.1,4.13,186.38,3112,-88,270547
4,13202,立川市,184172,91346,92826,98.4,1.31,24.36,7560,32,90877
4,13203,武蔵野市,150685,72096,78589,91.7,1.07,10.98,13724,-57,78543
4,13204,三鷹市,196333,94796,101537,93.4,1.4,16.42,11957,-70,97154
4,13205,青梅市,132584,66211,66373,99.8,0.95,103.31,1283,-99,56837
4,13206,府中市,263180,131561,131619,100,1.88,29.43,8943,-16,125126
4,13207,昭島市,114241,56833,57408,99,0.81,17.34,6588,29,52834
4,13208,調布市,243211,117209,126002,93,1.73,21.58,11270,-64,121771
4,13209,町田市,432440,211039,221401,95.3,3.08,71.55,6044,626,194830
4,13210,小金井市,127262,62248,65014,95.7,0.91,11.3,11262,94,63887
4,13211,小平市,199178,97559,101619,96,1.42,20.51,9711,-115,92327
4,13212,日野市,190711,94947,95764,99.1,1.36,27.55,6922,-104,91346
4,13213,東村山市,151833,73786,78047,94.5,1.08,17.14,8858,-32,69090
4,13214,国分寺市,130498,63663,66835,95.3,0.93,11.46,11387,51,64863
4,13215,国立市,77166,37489,39677,94.5,0.55,8.15,9468,-17,38594
4,13218,福生市,55967,27811,28156,98.8,0.4,10.16,5509,-78,28170
4,13219,狛江市,84625,40890,43735,93.5,0.6,6.39,13243,-29,42838
4,13220,東大和市,83961,40964,42997,95.3,0.6,13.42,6256,-27,36783
4,13221,清瀬市,76450,36649,39801,92.1,0.55,10.23,7473,-6,35407
4,13222,東久留米市,115377,55644,59733,93.2,0.82,12.88,8958,-22,51651
4,13223,武蔵村山市,70768,35237,35531,99.2,0.5,15.32,4619,-41,30291
4,13224,多摩市,146491,71447,75044,95.2,1.04,21.01,6972,-71,68925
4,13225,稲城市,93891,47233,46658,101.2,0.67,17.97,5225,49,40582
4,13227,羽村市,54144,27329,26815,101.9,0.39,9.9,5469,-15,24082
4,13228,あきる野市,79072,39079,39993,97.7,0.56,73.47,1076,-42,32190
4,13229,西東京市,207448,100911,106537,94.7,1.48,15.75,13171,21,97454
1,13550,町村部　注２）,79248,40186,39062,102.9,0.57,782.56,101,-28,34687
2,13300,郡部,55076,27416,27660,99.1,0.39,375.86,147,-26,21952
4,13303,瑞穂町,31518,15854,15664,101.2,0.22,16.85,1871,-41,13132
4,13305,日の出町,16925,8268,8657,95.5,0.12,28.07,603,7,6047
4,13307,檜原村,1965,962,1003,95.9,0.01,105.41,19,1,817
4,13308,奥多摩町,4668,2332,2336,99.8,0.03,225.53,21,7,1956
2,13350,島部,24172,12770,11402,112,0.17,406.7,59,-2,12735
3,13360,大島支庁,11554,5938,5616,105.7,0.08,141.01,82,-14,5833
4,13361,大島町,6989,3610,3379,106.8,0.05,90.76,77,-10,3670
4,13362,利島村,346,203,143,142,0,4.12,84,3,200
4,13363,新島村,2376,1173,1203,97.5,0.02,27.54,86,-3,1149
4,13364,神津島村,1843,952,891,106.8,0.01,18.58,99,-4,814
3,13380,三宅支庁,2573,1439,1134,126.9,0.02,75.8,34,2,1548
4,13381,三宅村,2254,1258,996,126.3,0.02,55.26,41,-1,1362
4,13382,御蔵島村,319,181,138,131.2,0,20.55,16,3,186
3,13400,八丈支庁,7125,3576,3549,100.8,0.05,83.01,86,5,3867
4,13401,八丈町,6948,3471,3477,99.8,0.05,72.24,96,5,3739
4,13402,青ヶ島村,177,105,72,145.8,0,5.96,30,0,128
3,13420,小笠原支庁,2920,1817,1103,164.7,0.02,106.88,27,5,1487
4,13421,小笠原村,2920,1817,1103,164.7,0.02,106.88,27,5,1487
,,,,,,,,,,,
東京都の人口（推計）(補正)_令和3年8月,,,,,,,,,,,
東京都の人口（推計）(補正)令和3年8月1日現在,,,,,,,,,,,
この表は、５年ごとに行われる国勢調査の間の時点における各月の人口を把握するため、令和２年10月１日現在の国勢調査人口（確報値）を基準とし、これに毎月の住民基本台帳人口の増減数を加えて推計したものです。人口総数に対する割合は、四捨五入しているため個々の数を合計しても必ずしも総数に一致しません。なお、世帯数は国勢調査と住民基本台帳上との世帯の定義に若干の相違があるので、参考値として掲げました。,,,,,,,,,,,
注１）面積は、総務局行政部長通知「東京都区市町村別の面積について」による令和３年４月１日時点の数値である。なお、区部には、荒川河口部（1.12k㎡）、中央防波堤外側埋立地(1.22k㎡）、新海面処分場(2.36k㎡） を含み、 八丈支庁には、鳥島（4.79k㎡）、ベヨネース列岩（0.00k㎡）、須美寿島（0.02k㎡）、孀婦岩（0.00k㎡）を含む。,,,,,,,,,,,
注２）町村部は、郡部と島部を含む地域である。,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,
