地域階層,地域コード,地域,人口／総数,人口／男,人口／女,性比（女100に対する男の割合）,人口総数に対する割合（％）,面積（ｋm2）注１）,人口密度（1ｋm2当たり）,前月人口との増減,＜参考値＞世帯数
0,13000,総数,14039541,6892146,7147395,96.4,100,2194.05,6399,5877,7264058
1,13100,区部,9718579,4765975,4952604,96.2,69.22,627.53,15487,896,5234393
1,13200,市部,4241556,2085917,2155639,96.8,30.21,783.95,5410,4624,1994957
2,13300,郡部,55158,27451,27707,99.1,0.39,375.86,147,-63,21925
2,13350,島部,24248,12803,11445,111.9,0.17,406.72,60,420,12783
1,13100,区部,9718579,4765975,4952604,96.2,69.22,627.53,15487,896,5234393
4,13101,千代田区,66830,33710,33120,101.8,0.48,11.66,5732,52,37172
4,13102,中央区,170404,81565,88839,91.8,1.21,10.21,16690,402,93668
4,13103,港区,259229,122653,136576,89.8,1.85,20.37,12726,-185,145707
4,13104,新宿区,348946,174663,174283,100.2,2.49,18.22,19152,-437,223664
4,13105,文京区,240016,115435,124581,92.7,1.71,11.29,21259,71,133981
4,13106,台東区,212321,109062,103259,105.6,1.51,10.11,21001,10,125957
4,13107,墨田区,272397,134834,137563,98,1.94,13.77,19782,-12,147072
4,13108,江東区,524603,258043,266560,96.8,3.74,42.99,12203,303,266199
4,13109,品川区,420751,207607,213144,97.4,3,22.84,18422,-291,237095
4,13110,目黒区,286983,135149,151834,89,2.04,14.67,19563,-116,155526
4,13111,大田区,745338,371225,374113,99.2,5.31,61.86,12049,-64,400423
4,13112,世田谷区,942039,444711,497328,89.4,6.71,58.05,16228,161,492890
4,13113,渋谷区,243557,117744,125813,93.6,1.73,15.11,16119,281,150017
4,13114,中野区,344457,172272,172185,100.1,2.45,15.59,22095,50,208309
4,13115,杉並区,590130,283860,306270,92.7,4.2,34.06,17326,356,336752
4,13116,豊島区,300893,150790,150103,100.5,2.14,13.01,23128,-112,184262
4,13117,北区,354217,175914,178303,98.7,2.52,20.61,17187,-68,190176
4,13118,荒川区,217394,107626,109768,98,1.55,10.16,21397,14,112595
4,13119,板橋区,583597,285609,297988,95.8,4.16,32.22,18113,41,316173
4,13120,練馬区,752526,361509,391017,92.5,5.36,48.08,15652,392,376758
4,13121,足立区,694593,346981,347612,99.8,4.95,53.25,13044,187,348469
4,13122,葛飾区,451937,225138,226799,99.3,3.22,34.8,12987,-24,217143
4,13123,江戸川区,695421,349875,345546,101.3,4.95,49.9,13936,-115,334385
1,13200,市部,4241556,2085917,2155639,96.8,30.21,783.95,5410,4624,1994957
4,13201,八王子市,579979,291604,288375,101.1,4.13,186.38,3112,1152,269991
4,13202,立川市,184122,91325,92797,98.4,1.31,24.36,7558,319,90700
4,13203,武蔵野市,150691,72117,78574,91.8,1.07,10.98,13724,244,78622
