階層コード,地域コード,地域,人口総数／令和3年2月１日,人口総数／令和2年2月１日,人口総数／平成31年2月１日,前年同月との比較／増減数,前年同月との比較／増減率（％）,前々年同月との比較／増減数,前々年同月との比較／増減率（％）
0,13000,総数,14029400,14019098,13908713,10302,0.07,120687,0.87
1,13100,区部,9716013,9712667,9615191,3346,0.03,100822,1.05
1,13200,市部,4233718,4225765,4211692,7953,0.19,22026,0.52
1,13300,郡部,55305,55854,56586,-549,-0.98,-1281,-2.26
1,13350,島部,24364,24812,25244,-448,-1.81,-880,-3.49
,,,,,,,,,
東京都の人口（推計）(補正)_令和3年2月,,,,,,,,,
＜参考＞前年同月及び前々年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
