階層コード,地域コード,地域,人口総数／令和3年6月１日,人口総数／令和2年6月１日,人口総数／令和元年6月１日,前年同月との比較／増減数,前年同月との比較／増減率（％）,前々年同月との比較／増減数,前々年同月との比較／増減率（％）
0,13000,総数,14034462,14071537,13985890,-37075,-0.26,48572,0.35
1,13100,区部,9713992,9755558,9678854,-41566,-0.43,35138,0.36
1,13200,市部,4241123,4235811,4225722,5312,0.13,15401,0.36
1,13300,郡部,55138,55675,56322,-537,-0.96,-1184,-2.1
1,13350,島部,24209,24493,24992,-284,-1.16,-783,-3.13
,,,,,,,,,
東京都の人口（推計）(補正)_令和3年6月,,,,,,,,,
＜参考＞前年同月及び前々年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
