国籍,地域階層,地域コード,地域,全体の増減,他県との移動／増減,他県との移動／転入,他県との移動／転出,都内間移動／増減,都内間移動／転入,都内間移動／転出,自然動態／増減,自然動態／出生,自然動態／死亡,その他の増減,（別掲）日本人全体の増減
総数,0,13000,総数,-4562,-2000,25327,27327,547,37124,36577,-2354,8641,10995,-755,-3894
総数,1,13100,区部,-4122,-2037,19704,21741,-313,27840,28153,-994,6317,7311,-778,-3405
総数,4,13101,千代田区,48,41,184,143,-41,326,367,34,70,36,14,40
総数,4,13102,中央区,32,35,430,395,-52,771,823,78,157,79,-29,49
総数,4,13103,港区,-136,-38,610,648,-125,1084,1209,117,245,128,-90,-31
総数,4,13104,新宿区,5,74,1036,962,-89,1717,1806,25,231,206,-5,140
総数,4,13105,文京区,-212,7,450,443,-191,748,939,-15,155,170,-13,-195
総数,4,13106,台東区,23,3,562,559,139,915,776,-69,117,186,-50,65
総数,4,13107,墨田区,110,13,674,661,131,1060,929,-9,200,209,-25,126
総数,4,13108,江東区,92,-65,995,1060,143,1518,1375,0,398,398,14,10
総数,4,13109,品川区,-246,-176,876,1052,-25,1214,1239,-19,278,297,-26,-230
総数,4,13110,目黒区,-291,-96,573,669,-182,954,1136,3,176,173,-16,-283
総数,4,13111,大田区,-470,-238,1639,1877,-33,1302,1335,-123,474,597,-76,-466
総数,4,13112,世田谷区,-277,-208,1716,1924,-165,2184,2349,77,591,514,19,-249
総数,4,13113,渋谷区,-8,33,569,536,-78,1118,1196,1,154,153,36,-94
総数,4,13114,中野区,-370,-9,808,817,-269,1302,1571,-32,228,260,-60,-220
総数,4,13115,杉並区,-327,-44,1044,1088,-186,1794,1980,-52,338,390,-45,-281
総数,4,13116,豊島区,-336,-100,701,801,-157,1147,1304,-16,202,218,-63,-235
総数,4,13117,北区,-134,-62,888,950,86,1182,1096,-102,252,354,-56,-97
総数,4,13118,荒川区,-193,-32,467,499,-95,632,727,-46,136,182,-20,-131
総数,4,13119,板橋区,-276,-247,1119,1366,169,1461,1292,-151,331,482,-47,-229
総数,4,13120,練馬区,-298,-264,1166,1430,153,1724,1571,-118,472,590,-69,-264
総数,4,13121,足立区,-329,-227,1311,1538,275,1359,1084,-316,383,699,-61,-360
総数,4,13122,葛飾区,30,-100,763,863,370,1161,791,-207,253,460,-33,26
総数,4,13123,江戸川区,-559,-337,1123,1460,-91,1167,1258,-54,476,530,-77,-496
総数,1,13200,市部,-429,34,5551,5517,771,9101,8330,-1258,2290,3548,24,-471
総数,4,13201,八王子市,-92,60,751,691,94,822,728,-209,259,468,-37,-72
総数,4,13202,立川市,-37,6,248,242,48,555,507,-92,91,183,1,-57
総数,4,13203,武蔵野市,-25,-55,178,233,-3,495,498,2,117,115,31,-30
総数,4,13204,三鷹市,38,-29,235,264,48,586,538,-9,123,132,28,28
総数,4,13205,青梅市,-66,16,114,98,36,224,188,-114,62,176,-4,-91
総数,4,13206,府中市,78,76,360,284,29,541,512,-47,165,212,20,48
総数,4,13207,昭島市,-6,13,129,116,23,264,241,-50,62,112,8,-1
総数,4,13208,調布市,-168,-63,289,352,-44,596,640,-64,133,197,3,-166
総数,4,13209,町田市,-85,100,878,778,22,384,362,-182,193,375,-25,-80
総数,4,13210,小金井市,61,10,168,158,38,360,322,-3,65,68,16,52
総数,4,13211,小平市,-51,9,225,216,21,450,429,-79,108,187,-2,-52
総数,4,13212,日野市,10,-5,225,230,53,418,365,-31,119,150,-7,25
総数,4,13213,東村山市,79,27,206,179,98,370,272,-39,84,123,-7,59
総数,4,13214,国分寺市,43,-19,161,180,54,404,350,12,105,93,-4,46
総数,4,13215,国立市,-3,-10,98,108,26,232,206,-23,36,59,4,-7
総数,4,13218,福生市,-42,-22,64,86,-26,149,175,-16,34,50,22,-45
総数,4,13219,狛江市,24,-38,125,163,52,242,190,3,62,59,7,25
総数,4,13220,東大和市,16,-18,50,68,60,211,151,-21,45,66,-5,26
総数,4,13221,清瀬市,-17,6,122,116,24,130,106,-48,43,91,1,-14
総数,4,13222,東久留米市,-29,-34,127,161,51,258,207,-50,59,109,4,-38
総数,4,13223,武蔵村山市,-62,-20,49,69,-8,159,167,-28,29,57,-6,-35
総数,4,13224,多摩市,-101,6,194,188,-32,300,332,-65,54,119,-10,-93
総数,4,13225,稲城市,24,56,188,132,-21,162,183,-1,59,60,-10,15
総数,4,13227,羽村市,22,29,92,63,11,135,124,-21,27,48,3,6
総数,4,13228,あきる野市,17,22,65,43,44,171,127,-43,36,79,-6,32
