階層コード,地域コード,地域,人口総数／令和3年9月１日,人口総数／令和2年9月１日,人口総数／令和元年9月１日,前年同月との比較／増減数,前年同月との比較／増減率（％）,前々年同月との比較／増減数,前々年同月との比較／増減率（％）
0,13000,総数,14020770,14057126,13995738,-36356,-0.26,25032,0.18
1,13100,区部,9699803,9742761,9689622,-42958,-0.44,10181,0.11
1,13200,市部,4241749,4234395,4224914,7354,0.17,16835,0.4
1,13300,郡部,55055,55538,56226,-483,-0.87,-1171,-2.08
1,13350,島部,24163,24432,24976,-269,-1.1,-813,-3.26
,,,,,,,,,
東京都の人口（推計）(補正)_令和3年9月,,,,,,,,,
＜参考＞前年同月及び前々年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
