階層コード,地域コード,地域,人口総数／令和3年1月１日,人口総数／令和2年1月１日,人口総数／平成31年1月１日,前年同月との比較／増減数,前年同月との比較／増減率（％）,前々年同月との比較／増減数,前々年同月との比較／増減率（％）
0,13000,総数,14036721,14016160,13906416,20561,0.15,130305,0.94
1,13100,区部,9721032,9708575,9611202,12457,0.13,109830,1.14
1,13200,市部,4235873,4226814,4213284,9059,0.21,22589,0.54
1,13300,郡部,55409,55924,56680,-515,-0.92,-1271,-2.24
1,13350,島部,24407,24847,25250,-440,-1.77,-843,-3.34
,,,,,,,,,
東京都の人口（推計）(補正)_令和3年1月,,,,,,,,,
＜参考＞前年同月及び前々年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
