地域階層,地域コード,地域,総数(人),各道府県からの転入者数/全国(人),各道府県からの転入者数/北海道(人),各道府県からの転入者数/青森県(人),各道府県からの転入者数/岩手県(人),各道府県からの転入者数/宮城県(人),各道府県からの転入者数/秋田県(人),各道府県からの転入者数/山形県(人),各道府県からの転入者数/福島県(人),各道府県からの転入者数/茨城県(人),各道府県からの転入者数/栃木県(人),各道府県からの転入者数/群馬県(人),各道府県からの転入者数/埼玉県(人),各道府県からの転入者数/千葉県(人),各道府県からの転入者数/神奈川県(人),各道府県からの転入者数/新潟県(人),各道府県からの転入者数/富山県(人),各道府県からの転入者数/石川県(人),各道府県からの転入者数/福井県(人),各道府県からの転入者数/山梨県(人),各道府県からの転入者数/長野県(人),各道府県からの転入者数/岐阜県(人),各道府県からの転入者数/静岡県(人),各道府県からの転入者数/愛知県(人),各道府県からの転入者数/三重県(人),各道府県からの転入者数/滋賀県(人),各道府県からの転入者数/京都府(人),各道府県からの転入者数/大阪府(人),各道府県からの転入者数/兵庫県(人),各道府県からの転入者数/奈良県(人),各道府県からの転入者数/和歌山県(人),各道府県からの転入者数/鳥取県(人),各道府県からの転入者数/島根県(人),各道府県からの転入者数/岡山県(人),各道府県からの転入者数/広島県(人),各道府県からの転入者数/山口県(人),各道府県からの転入者数/徳島県(人),各道府県からの転入者数/香川県(人),各道府県からの転入者数/愛媛県(人),各道府県からの転入者数/高知県(人),各道府県からの転入者数/福岡県(人),各道府県からの転入者数/佐賀県(人),各道府県からの転入者数/長崎県(人),各道府県からの転入者数/熊本県(人),各道府県からの転入者数/大分県(人),各道府県からの転入者数/宮崎県(人),各道府県からの転入者数/鹿児島県(人),各道府県からの転入者数/沖縄県(人),都内間移動者数(人),その他の移動者数(人)
0,13000,都総数,919717,454133,14524,3705,3204,9644,2329,2737,5718,12870,7525,7763,64443,52403,86513,6758,2492,3172,1508,4727,7465,3529,13100,21033,3258,2804,7695,26923,12942,2445,1314,1066,1174,3786,7050,2582,1155,2189,2757,1356,15543,1329,2639,3443,2223,2263,3467,5568,459298,6286
1,13100,区部,708642,355486,11338,2721,2446,7685,1759,2082,4340,10073,5860,5972,50970,44320,62133,5201,1989,2515,1220,2793,5295,2770,9869,16972,2527,2239,6361,22810,10791,1975,1047,828,905,3036,5675,2035,942,1776,2166,1056,12743,1039,2033,2718,1788,1749,2674,4250,347529,5627
4,13101,千代田区,7390,2965,103,14,15,44,15,9,24,80,38,42,363,351,470,34,20,29,14,29,34,20,92,142,31,20,106,198,112,16,7,9,4,28,59,29,13,22,19,6,130,5,19,34,20,50,17,29,4399,26
4,13102,中央区,15750,6768,213,40,31,157,26,38,67,149,86,94,772,995,1196,74,34,53,15,31,81,38,176,325,41,51,183,589,237,33,24,17,10,41,100,29,27,28,35,15,327,13,36,46,41,28,43,83,8979,3
4,13103,港区,24006,9956,285,72,62,172,31,54,92,221,97,128,1005,1087,2260,81,48,57,30,54,168,81,294,508,55,67,225,825,346,65,38,33,27,106,165,73,19,71,64,28,425,28,63,81,30,49,59,127,14044,6
4,13104,新宿区,34864,16028,567,142,92,373,97,75,203,420,264,317,2303,1639,2590,242,94,114,51,153,239,147,513,793,124,98,360,980,464,86,54,50,39,158,257,108,52,67,90,58,662,66,97,161,89,98,128,254,18821,15
4,13105,文京区,19217,8808,287,44,80,212,51,46,121,265,151,123,1162,1031,1204,127,50,93,35,67,148,78,287,510,68,48,219,596,322,73,32,14,34,84,140,76,33,53,58,30,334,31,75,78,43,47,56,92,10321,88
4,13106,台東区,22026,10230,321,45,74,250,45,58,88,370,192,152,1561,1623,1571,97,58,53,24,77,133,76,260,532,49,56,176,789,280,55,16,28,19,71,152,43,21,35,58,24,317,26,48,84,55,27,56,85,11733,63
4,13107,墨田区,25146,12404,360,86,54,245,55,61,120,334,190,184,1527,2374,1911,158,79,94,47,68,151,96,266,592,80,91,217,1054,374,58,34,23,23,77,189,51,37,53,67,31,463,27,62,77,53,54,61,96,12736,6
4,13108,江東区,37537,18758,582,124,102,405,74,91,206,488,225,255,2047,3554,2900,231,105,106,60,113,263,118,460,950,120,135,391,1478,646,130,57,36,33,120,317,124,45,85,130,55,652,39,91,147,80,77,130,181,18772,7
