国籍階層,国籍,地域コード,地域,東京都/転入者数(人),東京都/転出者数(人),東京都/転入超過数(人),区部/転入者数(人),区部/転出者数(人),区部/転入超過数(人),市町村部/転入者数(人),市町村部/転出者数(人),市町村部/転入超過数(人)
0,外国人含む,0,総数,167140,143902,23238,131144,111606,19538,35996,32296,3700
0,外国人含む,11002,札幌市,8058,6087,1971,6466,4840,1626,1592,1247,345
0,外国人含む,41009,仙台市,7018,4500,2518,5666,3467,2199,1352,1033,319
0,外国人含む,111007,さいたま市,12250,13794,-1544,10186,11339,-1153,2064,2455,-391
0,外国人含む,121002,千葉市,7507,6823,684,6399,5596,803,1108,1227,-119
0,外国人含む,141003,横浜市,33599,32483,1116,26298,25636,662,7301,6847,454
0,外国人含む,141305,川崎市,27012,27731,-719,19455,21077,-1622,7557,6654,903
0,外国人含む,141500,相模原市,7911,7545,366,3538,2997,541,4373,4548,-175
0,外国人含む,151009,新潟市,2959,1878,1081,2327,1410,917,632,468,164
0,外国人含む,221007,静岡市,2977,1931,1046,2275,1466,809,702,465,237
0,外国人含む,221309,浜松市,2511,1565,946,1851,1141,710,660,424,236
0,外国人含む,231002,名古屋市,11514,7762,3752,9577,6236,3341,1937,1526,411
0,外国人含む,261009,京都市,5691,4711,980,4748,3946,802,943,765,178
0,外国人含む,271004,大阪市,13038,9877,3161,11537,8472,3065,1501,1405,96
0,外国人含む,271403,堺市,1484,986,498,1228,746,482,256,240,16
0,外国人含む,281000,神戸市,4518,2966,1552,3780,2427,1353,738,539,199
0,外国人含む,331007,岡山市,2070,1071,999,1679,859,820,391,212,179
0,外国人含む,341002,広島市,4146,2349,1797,3396,1861,1535,750,488,262
0,外国人含む,401005,北九州市,2068,1238,830,1685,952,733,383,286,97
0,外国人含む,401307,福岡市,8713,7044,1669,7372,5859,1513,1341,1185,156
0,外国人含む,431001,熊本市,2096,1561,535,1681,1279,402,415,282,133
1,日本人のみ,0,総数,150980,130157,20823,117757,99949,17808,33223,30208,3015
1,日本人のみ,11002,札幌市,7667,5833,1834,6132,4614,1518,1535,1219,316
1,日本人のみ,41009,仙台市,6600,4276,2324,5338,3280,2058,1262,996,266
1,日本人のみ,111007,さいたま市,11037,12581,-1544,9127,10289,-1162,1910,2292,-382
1,日本人のみ,121002,千葉市,6625,5913,712,5624,4805,819,1001,1108,-107
1,日本人のみ,141003,横浜市,30048,29069,979,23336,22739,597,6712,6330,382
1,日本人のみ,141305,川崎市,24367,25131,-764,17247,18862,-1615,7120,6269,851
1,日本人のみ,141500,相模原市,7168,6847,321,3132,2623,509,4036,4224,-188
1,日本人のみ,151009,新潟市,2845,1796,1049,2235,1355,880,610,441,169
1,日本人のみ,221007,静岡市,2685,1811,874,2061,1370,691,624,441,183
1,日本人のみ,221309,浜松市,2295,1472,823,1689,1065,624,606,407,199
1,日本人のみ,231002,名古屋市,10471,7244,3227,8730,5785,2945,1741,1459,282
1,日本人のみ,261009,京都市,4685,3561,1124,3888,2892,996,797,669,128
1,日本人のみ,271004,大阪市,11268,8510,2758,9983,7232,2751,1285,1278,7
1,日本人のみ,271403,堺市,1364,899,465,1127,672,455,237,227,10
1,日本人のみ,281000,神戸市,3991,2625,1366,3336,2132,1204,655,493,162
1,日本人のみ,331007,岡山市,1890,1016,874,1541,813,728,349,203,146
1,日本人のみ,341002,広島市,3964,2268,1696,3246,1801,1445,718,467,251
1,日本人のみ,401005,北九州市,1910,1151,759,1557,872,685,353,279,74
1,日本人のみ,401307,福岡市,8096,6671,1425,6831,5539,1292,1265,1132,133
1,日本人のみ,431001,熊本市,2004,1483,521,1597,1209,388,407,274,133
,,,,,,,,,,,,
東京都住民基本台帳人口移動報告/令和5年,,,,,,,,,,,,
第7表 20大都市との区部・市町村部別移動者数(令和5年),,,,,,,,,,,,
注）-は転出超過数,,,,,,,,,,,,
国籍階層(0:外国人含む 1:日本人のみ),,,,,,,,,,,,
地域階層(0:総数 1:20大都市),,,,,,,,,,,,
