国籍階層,地域階層,国籍,地域コード,地域,総数/転入者数(人),総数/転出者数(人),総数/転入超過数(人),男/転入者数(人),男/転出者数(人),男/転入超過数(人),女/転入者数(人),女/転出者数(人),女/転入超過数(人),区部/転入者数(人),区部/転出者数(人),区部/転入超過数(人),市町村部/転入者数(人),市町村部/転出者数(人),市町村部/転入超過数(人)
0,0,外国人含む,0,総数,454133,385848,68285,240345,209080,31265,213788,176768,37020,355486,299495,55991,98647,86353,12294
0,1,外国人含む,1,北海道,14524,10712,3812,7834,6163,1671,6690,4549,2141,11338,8299,3039,3186,2413,773
0,1,外国人含む,2,青森県,3705,2285,1420,1871,1234,637,1834,1051,783,2721,1662,1059,984,623,361
0,1,外国人含む,3,岩手県,3204,2060,1144,1640,1132,508,1564,928,636,2446,1518,928,758,542,216
0,1,外国人含む,4,宮城県,9644,6006,3638,5139,3425,1714,4505,2581,1924,7685,4572,3113,1959,1434,525
0,1,外国人含む,5,秋田県,2329,1643,686,1125,919,206,1204,724,480,1759,1249,510,570,394,176
0,1,外国人含む,6,山形県,2737,1672,1065,1388,909,479,1349,763,586,2082,1272,810,655,400,255
0,1,外国人含む,7,福島県,5718,3706,2012,2937,1992,945,2781,1714,1067,4340,2773,1567,1378,933,445
0,1,外国人含む,8,茨城県,12870,10785,2085,6964,6089,875,5906,4696,1210,10073,8391,1682,2797,2394,403
0,1,外国人含む,9,栃木県,7525,5737,1788,4031,3163,868,3494,2574,920,5860,4374,1486,1665,1363,302
0,1,外国人含む,10,群馬県,7763,5920,1843,4300,3466,834,3463,2454,1009,5972,4467,1505,1791,1453,338
0,1,外国人含む,11,埼玉県,64443,71717,-7274,33291,37901,-4610,31152,33816,-2664,50970,56643,-5673,13473,15074,-1601
0,1,外国人含む,12,千葉県,52403,52581,-178,27607,27895,-288,24796,24686,110,44320,44806,-486,8083,7775,308
0,1,外国人含む,14,神奈川県,86513,87846,-1333,44808,45730,-922,41705,42116,-411,62133,64182,-2049,24380,23664,716
0,1,外国人含む,15,新潟県,6758,4301,2457,3426,2338,1088,3332,1963,1369,5201,3147,2054,1557,1154,403
0,1,外国人含む,16,富山県,2492,1589,903,1298,844,454,1194,745,449,1989,1223,766,503,366,137
