年月階層,月次,地域コード,地域,総数/転入者数(人),総数/転出者数(人),総数/転入超過数(人),男/転入者数(人),男/転出者数(人),男/転入超過数(人),女/転入者数(人),女/転出者数(人),女/転入超過数(人)
0,年計,11002,札幌市,8058,6087,1971,4279,3470,809,3779,2617,1162
1,1月,11002,札幌市,416,265,151,213,142,71,203,123,80
1,2月,11002,札幌市,399,315,84,215,169,46,184,146,38
1,3月,11002,札幌市,2161,1097,1064,1148,625,523,1013,472,541
1,4月,11002,札幌市,1486,1209,277,816,731,85,670,478,192
1,5月,11002,札幌市,591,500,91,308,281,27,283,219,64
1,6月,11002,札幌市,429,416,13,237,226,11,192,190,2
1,7月,11002,札幌市,493,483,10,271,285,-14,222,198,24
1,8月,11002,札幌市,432,427,5,227,243,-16,205,184,21
1,9月,11002,札幌市,483,338,145,247,203,44,236,135,101
1,10月,11002,札幌市,517,427,90,260,243,17,257,184,73
1,11月,11002,札幌市,342,296,46,175,164,11,167,132,35
1,12月,11002,札幌市,309,314,-5,162,158,4,147,156,-9
0,年計,41009,仙台市,7018,4500,2518,3781,2607,1174,3237,1893,1344
1,1月,41009,仙台市,327,243,84,149,145,4,178,98,80
1,2月,41009,仙台市,382,240,142,202,119,83,180,121,59
1,3月,41009,仙台市,2026,780,1246,1066,447,619,960,333,627
1,4月,41009,仙台市,1283,900,383,730,521,209,553,379,174
1,5月,41009,仙台市,484,390,94,250,238,12,234,152,82
1,6月,41009,仙台市,340,258,82,185,158,27,155,100,55
1,7月,41009,仙台市,411,372,39,234,225,9,177,147,30
1,8月,41009,仙台市,392,294,98,211,161,50,181,133,48
1,9月,41009,仙台市,352,238,114,190,136,54,162,102,60
1,10月,41009,仙台市,467,328,139,264,202,62,203,126,77
1,11月,41009,仙台市,267,215,52,135,132,3,132,83,49
1,12月,41009,仙台市,287,242,45,165,123,42,122,119,3
0,年計,111007,さいたま市,12250,13794,-1544,6304,7306,-1002,5946,6488,-542
1,1月,111007,さいたま市,795,990,-195,409,499,-90,386,491,-105
1,2月,111007,さいたま市,995,967,28,518,517,1,477,450,27
1,3月,111007,さいたま市,1826,2063,-237,907,1084,-177,919,979,-60
1,4月,111007,さいたま市,1264,1315,-51,654,687,-33,610,628,-18
1,5月,111007,さいたま市,951,1089,-138,499,581,-82,452,508,-56
1,6月,111007,さいたま市,907,1001,-94,462,563,-101,445,438,7
1,7月,111007,さいたま市,956,1039,-83,513,555,-42,443,484,-41
1,8月,111007,さいたま市,899,1077,-178,477,569,-92,422,508,-86
1,9月,111007,さいたま市,889,1058,-169,461,562,-101,428,496,-68
1,10月,111007,さいたま市,982,1134,-152,492,618,-126,490,516,-26
1,11月,111007,さいたま市,889,1076,-187,441,565,-124,448,511,-63
1,12月,111007,さいたま市,897,985,-88,471,506,-35,426,479,-53
0,年計,121002,千葉市,7507,6823,684,3922,3669,253,3585,3154,431
1,1月,121002,千葉市,419,409,10,210,222,-12,209,187,22
1,2月,121002,千葉市,553,546,7,278,295,-17,275,251,24
1,3月,121002,千葉市,1289,1091,198,631,588,43,658,503,155
1,4月,121002,千葉市,828,771,57,460,392,68,368,379,-11
1,5月,121002,千葉市,626,518,108,348,277,71,278,241,37
1,6月,121002,千葉市,525,505,20,287,271,16,238,234,4
1,7月,121002,千葉市,551,525,26,309,277,32,242,248,-6
1,8月,121002,千葉市,617,517,100,299,265,34,318,252,66
1,9月,121002,千葉市,495,477,18,258,256,2,237,221,16
1,10月,121002,千葉市,551,503,48,279,290,-11,272,213,59
1,11月,121002,千葉市,515,480,35,280,270,10,235,210,25
1,12月,121002,千葉市,538,481,57,283,266,17,255,215,40
0,年計,141003,横浜市,33599,32483,1116,17530,16814,716,16069,15669,400
1,1月,141003,横浜市,2363,2090,273,1219,1053,166,1144,1037,107
1,2月,141003,横浜市,2695,2495,200,1415,1298,117,1280,1197,83
1,3月,141003,横浜市,5068,4923,145,2552,2534,18,2516,2389,127
1,4月,141003,横浜市,3182,3286,-104,1653,1746,-93,1529,1540,-11
1,5月,141003,横浜市,2605,2612,-7,1388,1366,22,1217,1246,-29
1,6月,141003,横浜市,2615,2497,118,1400,1273,127,1215,1224,-9
1,7月,141003,横浜市,2637,2474,163,1397,1302,95,1240,1172,68
1,8月,141003,横浜市,2619,2456,163,1357,1240,117,1262,1216,46
1,9月,141003,横浜市,2316,2258,58,1251,1188,63,1065,1070,-5
1,10月,141003,横浜市,2553,2465,88,1342,1274,68,1211,1191,20
1,11月,141003,横浜市,2385,2421,-36,1249,1274,-25,1136,1147,-11
1,12月,141003,横浜市,2561,2506,55,1307,1266,41,1254,1240,14
0,年計,141305,川崎市,27012,27731,-719,13912,14411,-499,13100,13320,-220
1,1月,141305,川崎市,1913,1844,69,986,952,34,927,892,35
1,2月,141305,川崎市,2162,2153,9,1109,1119,-10,1053,1034,19
