年月階層,月次,移動者数/総数（人）,移動者数/男（人）,移動者数/女（人）,他道府県からの転入者数/総数（人）,他道府県からの転入者数/男（人）,他道府県からの転入者数/女（人）,他道府県への転出者数/総数（人）,他道府県への転出者数/男（人）,他道府県への転出者数/女（人）,都内間移動者数/総数（人）,都内間移動者数/男（人）,都内間移動者数/女（人）,その他の移動者数/総数（人）,その他の移動者数/男（人）,その他の移動者数/女（人）
0,年計,1305565,687094,618471,454133,240345,213788,385848,209080,176768,459298,234107,225191,6286,3562,2724
1,1月,82236,43018,39218,27178,14282,12896,24291,13047,11244,30408,15488,14920,359,201,158
1,2月,94076,49307,44769,30866,16170,14696,26964,14517,12447,35995,18446,17549,251,174,77
1,3月,224107,115868,108239,101405,52247,49158,62100,33368,28732,60059,29952,30107,543,301,242
1,4月,154599,83192,71407,59802,32215,27587,50977,28487,22490,43118,22014,21104,702,476,226
1,5月,102916,54373,48543,34284,18286,15998,31040,16887,14153,37297,19031,18266,295,169,126
1,6月,93242,49412,43830,29177,15624,13553,27738,15041,12697,35863,18463,17400,464,284,180
1,7月,95577,50827,44750,30366,16435,13931,29080,15860,13220,35592,18256,17336,539,276,263
1,8月,94734,49795,44939,29825,15858,13967,28392,15174,13218,36234,18612,17622,283,151,132
1,9月,87509,46632,40877,27962,15125,12837,25166,13675,11491,33665,17444,16221,716,388,328
1,10月,98433,52073,46360,30784,16302,14482,28652,15738,12914,37872,19411,18461,1125,622,503
1,11月,87116,45269,41847,25786,13600,12186,25057,13386,11671,35777,18030,17747,496,253,243
1,12月,91020,47328,43692,26698,14201,12497,26391,13900,12491,37418,18960,18458,513,267,246
,,,,,,,,,,,,,,,,
東京都住民基本台帳人口移動報告/令和5年,,,,,,,,,,,,,,,,
第1表 月別 、男女別移動者数(令和5年) 外国人含む,,,,,,,,,,,,,,,,
年月階層（0:年計  1:月次）,,,,,,,,,,,,,,,,
