国籍階層,国籍,地域階層,地域コード,地域,総数/総数(人),総数/0～4歳(人),総数/5～9歳(人),総数/10～14歳(人),総数/15～19歳(人),総数/20～24歳(人),総数/25～29歳(人),総数/30～34歳(人),総数/35～39歳(人),総数/40～44歳(人),総数/45～49歳(人),総数/50～54歳(人),総数/55～59歳(人),総数/60～64歳(人),総数/65～69歳(人),総数/70～74歳(人),総数/75～79歳(人),総数/80～84歳(人),総数/85～89歳(人),総数/90歳以上(人),男/総数(人),男/0～4歳(人),男/5～9歳(人),男/10～14歳(人),男/15～19歳(人),男/20～24歳(人),男/25～29歳(人),男/30～34歳(人),男/35～39歳(人),男/40～44歳(人),男/45～49歳(人),男/50～54歳(人),男/55～59歳(人),男/60～64歳(人),男/65～69歳(人),男/70～74歳(人),男/75～79歳(人),男/80～84歳(人),男/85～89歳(人),男/90歳以上(人),女/総数(人),女/0～4歳(人),女/5～9歳(人),女/10～14歳(人),女/15～19歳(人),女/20～24歳(人),女/25～29歳(人),女/30～34歳(人),女/35～39歳(人),女/40～44歳(人),女/45～49歳(人),女/50～54歳(人),女/55～59歳(人),女/60～64歳(人),女/65～69歳(人),女/70～74歳(人),女/75～79歳(人),女/80～84歳(人),女/85～89歳(人),女/90歳以上(人)
0,外国人含む,0,13000,都総数,845146,37970,17314,9433,22379,129411,200455,132772,81810,51399,38398,32974,25109,17815,11794,10300,8195,7095,6101,4422,443187,19406,8868,4823,12028,66347,102115,69854,45031,29274,21735,17966,13887,10052,6575,5545,3983,2730,1917,1051,401959,18564,8446,4610,10351,63064,98340,62918,36779,22125,16663,15008,11222,7763,5219,4755,4212,4365,4184,3371
0,外国人含む,1,13100,区部,649116,29104,13151,7150,16251,92290,157257,106916,65533,40673,29802,25064,18947,13294,8611,7461,5811,4865,4073,2863,340200,14923,6768,3692,8739,46934,79803,56088,35872,23022,16814,13684,10549,7548,4895,4069,2912,1938,1281,669,308916,14181,6383,3458,7512,45356,77454,50828,29661,17651,12988,11380,8398,5746,3716,3392,2899,2927,2792,2194
0,外国人含む,4,13101,千代田区,7188,328,182,121,231,710,1479,1240,788,528,448,340,287,191,93,90,49,34,30,19,4120,180,98,50,138,396,837,734,461,319,261,206,168,111,48,60,19,19,10,5,3068,148,84,71,93,314,642,506,327,209,187,134,119,80,45,30,30,15,20,14
0,外国人含む,4,13102,中央区,14692,936,378,241,280,1148,2834,2622,1773,1177,897,818,581,376,199,139,118,77,52,46,7501,470,181,122,155,552,1409,1309,926,615,463,427,350,211,109,79,55,36,21,11,7191,466,197,119,125,596,1425,1313,847,562,434,391,231,165,90,60,63,41,31,35
0,外国人含む,4,13103,港区,21465,1137,685,427,448,1828,4076,3379,2527,1778,1352,1133,872,584,342,261,222,203,124,87,11081,587,356,218,229,941,2079,1761,1299,933,723,595,458,335,188,128,109,69,49,24,10384,550,329,209,219,887,1997,1618,1228,845,629,538,414,249,154,133,113,134,75,63
0,外国人含む,4,13104,新宿区,37153,1318,612,352,1525,6772,8873,5842,3619,2249,1628,1278,933,621,414,339,256,214,182,126,20328,659,307,176,842,3597,4738,3247,2116,1337,971,713,533,357,232,185,134,95,59,30,16825,659,305,176,683,3175,4135,2595,1503,912,657,565,400,264,182,154,122,119,123,96
0,外国人含む,4,13105,文京区,17761,800,410,258,430,2449,4087,3004,1845,1082,898,724,506,346,240,229,159,125,91,78,9077,429,218,122,224,1213,2083,1538,973,581,471,378,271,175,123,117,78,44,25,14,8684,371,192,136,206,1236,2004,1466,872,501,427,346,235,171,117,112,81,81,66,64
0,外国人含む,4,13106,台東区,18368,788,228,132,449,2150,4404,3450,1925,1244,862,739,533,382,281,255,199,161,102,84,10060,399,127,69,257,1099,2263,1847,1092,750,514,464,342,231,172,167,117,83,45,22,8308,389,101,63,192,1051,2141,1603,833,494,348,275,191,151,109,88,82,78,57,62
0,外国人含む,4,13107,墨田区,21337,1014,302,160,360,2428,5729,4244,2234,1313,876,708,528,382,265,234,164,175,140,81,11109,509,154,89,199,1196,2781,2230,1255,742,510,400,307,233,152,119,93,76,48,16,10228,505,148,71,161,1232,2948,2014,979,571,366,308,221,149,113,115,71,99,92,65
0,外国人含む,4,13108,江東区,32591,1478,844,469,733,3867,7761,5266,3256,2145,1603,1385,1116,775,482,391,300,316,253,151,17317,757,429,238,409,2055,3990,2711,1787,1248,920,773,644,448,279,236,149,122,80,42,15274,721,415,231,324,1812,3771,2555,1469,897,683,612,472,327,203,155,151,194,173,109
