年齢階層,年齢,転入者数(人),転出者数(人),転入超過数(人)
0,総数,454133,385848,68285
1,0－4歳,13626,19345,-5719
2,0歳,3405,5569,-2164
2,1歳,3154,4371,-1217
2,2歳,2675,3608,-933
2,3歳,2438,3292,-854
2,4歳,1954,2505,-551
1,5－9歳,7248,8802,-1554
2,5歳,1700,2104,-404
2,6歳,2123,2900,-777
2,7歳,1191,1338,-147
2,8歳,1157,1304,-147
2,9歳,1077,1156,-79
1,10-14歳,4296,4006,290
2,10歳,951,1034,-83
2,11歳,720,678,42
2,12歳,1379,1243,136
2,13歳,681,602,79
2,14歳,565,449,116
1,15-19歳,23607,9041,14566
2,15歳,1299,932,367
2,16歳,713,444,269
2,17歳,614,452,162
2,18歳,13681,3360,10321
2,19歳,7300,3853,3447
1,20-24歳,125084,61640,63444
2,20歳,14679,5779,8900
2,21歳,12254,6380,5874
2,22歳,41798,16094,25704
2,23歳,26879,15266,11613
2,24歳,29474,18121,11353
1,25-29歳,111409,86218,25191
2,25歳,26768,18257,8511
2,26歳,24832,18348,6484
2,27歳,22283,17436,4847
2,28歳,20054,16831,3223
2,29歳,17472,15346,2126
1,30-34歳,57040,56625,415
2,30歳,14850,14097,753
2,31歳,12691,12590,101
2,32歳,11059,10844,215
2,33歳,9583,9950,-367
2,34歳,8857,9144,-287
1,35-39歳,32133,36112,-3979
2,35歳,7952,8454,-502
2,36歳,6904,7890,-986
2,37歳,6184,6913,-729
2,38歳,5795,6642,-847
2,39歳,5298,6213,-915
1,40-44歳,20174,23214,-3040
2,40歳,4778,5523,-745
2,41歳,4269,4987,-718
2,42歳,3982,4402,-420
2,43歳,3613,4263,-650
2,44歳,3532,4039,-507
1,45-49歳,15695,17942,-2247
2,45歳,3201,3934,-733
2,46歳,3342,3667,-325
2,47歳,3061,3479,-418
2,48歳,3052,3427,-375
2,49歳,3039,3435,-396
1,50-54歳,13187,16231,-3044
2,50歳,2971,3589,-618
2,51歳,2777,3293,-516
2,52歳,2659,3197,-538
2,53歳,2486,3109,-623
2,54歳,2294,3043,-749
1,55-59歳,8988,12834,-3846
2,55歳,2220,2948,-728
2,56歳,1910,2709,-799
2,57歳,1720,2375,-655
2,58歳,1647,2465,-818
2,59歳,1491,2337,-846
1,60-64歳,5632,9338,-3706
2,60歳,1601,2734,-1133
2,61歳,1176,1851,-675
2,62歳,987,1704,-717
2,63歳,966,1502,-536
2,64歳,902,1547,-645
1,65-69歳,3648,6210,-2562
2,65歳,928,1724,-796
2,66歳,747,1219,-472
2,67歳,655,1163,-508
2,68歳,671,1083,-412
2,69歳,647,1021,-374
1,70-74歳,3221,5239,-2018
2,70歳,640,1009,-369
2,71歳,641,960,-319
2,72歳,602,1027,-425
2,73歳,659,1054,-395
2,74歳,679,1189,-510
1,75-79歳,2799,4102,-1303
2,75歳,741,1136,-395
2,76歳,611,918,-307
2,77歳,420,594,-174
2,78歳,451,637,-186
2,79歳,576,817,-241
1,80-84歳,2646,3509,-863
2,80歳,555,728,-173
2,81歳,603,795,-192
2,82歳,551,711,-160
2,83歳,483,679,-196
2,84歳,454,596,-142
1,85-89歳,2271,3222,-951
2,85歳,476,707,-231
2,86歳,475,681,-206
2,87歳,491,678,-187
2,88歳,462,616,-154
2,89歳,367,540,-173
1,90歳以上,1429,2218,-789
,,,,
東京都住民基本台帳人口移動報告/令和5年,,,,
第11表  年齢各歳別他道府県間転入・転出者数(令和5年) 外国人含む,,,,
注）総数には年齢不詳を含むため、内訳の合計と一致しない。-は転出超過数。,,,,
年齢階層コード（0:総数　1:5歳階級　2:各歳),,,,
