月,地域階層,地域コード,地域,総数/転入者数(人),総数/転出者数(人),総数/転入超過数(人),男/転入者数(人),男/転出者数(人),男/転入超過数(人),女/転入者数(人),女/転出者数(人),女/転入超過数(人)
1,0,0,総数,27178,24291,2887,14282,13047,1235,12896,11244,1652
1,1,1,北海道,750,498,252,379,279,100,371,219,152
1,1,2,青森県,192,106,86,90,52,38,102,54,48
1,1,3,岩手県,172,130,42,87,71,16,85,59,26
1,1,4,宮城県,473,323,150,226,190,36,247,133,114
1,1,5,秋田県,112,91,21,55,48,7,57,43,14
1,1,6,山形県,115,94,21,60,54,6,55,40,15
1,1,7,福島県,313,232,81,164,126,38,149,106,43
1,1,8,茨城県,735,658,77,391,372,19,344,286,58
1,1,9,栃木県,417,338,79,235,182,53,182,156,26
1,1,10,群馬県,436,403,33,245,229,16,191,174,17
1,1,11,埼玉県,4244,4881,-637,2208,2536,-328,2036,2345,-309
1,1,12,千葉県,3302,3505,-203,1727,1863,-136,1575,1642,-67
1,1,14,神奈川県,5928,5801,127,3058,2978,80,2870,2823,47
1,1,15,新潟県,320,223,97,165,118,47,155,105,50
1,1,16,富山県,156,89,67,81,48,33,75,41,34
1,1,17,石川県,165,122,43,76,63,13,89,59,30
1,1,18,福井県,104,55,49,51,31,20,53,24,29
1,1,19,山梨県,240,225,15,119,125,-6,121,100,21
1,1,20,長野県,402,412,-10,216,229,-13,186,183,3
1,1,21,岐阜県,204,109,95,113,65,48,91,44,47
1,1,22,静岡県,730,530,200,388,294,94,342,236,106
1,1,23,愛知県,1226,803,423,701,483,218,525,320,205
1,1,24,三重県,211,118,93,109,63,46,102,55,47
1,1,25,滋賀県,138,100,38,77,61,16,61,39,22
1,1,26,京都府,426,297,129,208,146,62,218,151,67
1,1,27,大阪府,1509,1074,435,786,608,178,723,466,257
1,1,28,兵庫県,707,496,211,397,276,121,310,220,90
1,1,29,奈良県,122,82,40,67,38,29,55,44,11
1,1,30,和歌山県,70,49,21,40,25,15,30,24,6
1,1,31,鳥取県,50,30,20,30,17,13,20,13,7
1,1,32,島根県,78,37,41,39,18,21,39,19,20
1,1,33,岡山県,215,123,92,116,69,47,99,54,45
1,1,34,広島県,364,234,130,204,139,65,160,95,65
1,1,35,山口県,169,91,78,99,55,44,70,36,34
1,1,36,徳島県,58,50,8,29,30,-1,29,20,9
1,1,37,香川県,127,78,49,75,48,27,52,30,22
1,1,38,愛媛県,135,104,31,69,54,15,66,50,16
1,1,39,高知県,67,57,10,34,30,4,33,27,6
1,1,40,福岡県,886,655,231,488,393,95,398,262,136
1,1,41,佐賀県,69,57,12,38,35,3,31,22,9
1,1,42,長崎県,140,99,41,69,52,17,71,47,24
