和暦（年次）,西暦（年次）,東京都/総数(人),東京都/男(人),東京都/女(人),区部/総数(人),区部/男(人),区部/女(人),市町村部/総数(人),市町村部/男(人),市町村部/女(人),市部/総数(人),市部/男(人),市部/女(人),町村部/総数(人),町村部/男(人),町村部/女(人)
昭和29,1954,7890687,4041891,3848796,6866675,3528001,3338674,1024012,513890,510122,934921,469305,465616,89091,44585,44506
昭和30,1955,8031193,4120797,3910396,6966447,3586289,3380158,1064746,534508,530238,983352,493704,489648,81394,40804,40590
昭和31,1956,8242825,4237626,4005199,7137323,3682253,3455070,1105502,555373,550129,1023915,514472,509443,81587,40901,40686
昭和32,1957,8461475,4368027,4093448,7312734,3789309,3523425,1148741,578718,570023,1067861,538139,529722,80880,40579,40301
昭和33,1958,8753039,4520806,4232233,7540332,3909858,3630474,1212707,610948,601759,1132017,570688,561329,80690,40260,40430
昭和34,1959,9062657,4687554,4375103,7766503,4033861,3732642,1296154,653693,642461,1213865,612660,601205,82289,41033,41256
昭和35,1960,9344112,4835080,4509032,7968599,4141445,3827154,1375513,693635,681878,1293542,652789,640753,81971,40846,41125
昭和36,1961,9614391,4975475,4638916,8155791,4238148,3917643,1458600,737327,721273,1378233,697351,680882,80367,39976,40391
昭和37,1962,9884573,5108714,4775859,8315256,4313120,4002136,1569317,795594,773723,1488981,755700,733281,80336,39894,40442
昭和38,1963,10153291,5236229,4917062,8446121,4370622,4075499,1707170,865607,841563,1627037,825853,801184,80133,39754,40379
昭和39,1964,10351550,5329671,5021879,8520150,4398134,4122016,1831400,931537,899863,1750551,891397,859154,80849,40140,40709
昭和40,1965,10609350,5450291,5159059,8638204,4445420,4192784,1971146,1004871,966275,1890537,964776,925761,80609,40095,40514
昭和41,1966,10724214,5493574,5230640,8639124,4429492,4209632,2085090,1064082,1021008,2005585,1024495,981090,79505,39587,39918
昭和42,1967,10880677,5566597,5314080,8688650,4448243,4240407,2192027,1118354,1073673,2112708,1078902,1033806,79319,39452,39867
昭和43,1968,11006409,5624195,5382214,8691078,4441245,4249833,2315331,1182950,1132381,2236231,1143521,1092710,79100,39429,39671
昭和44,1969,11106517,5668228,5438289,8680227,4428787,4251440,2426290,1239441,1186849,2347710,1200294,1147416,78580,39147,39433
昭和45,1970,11198277,5704112,5494165,8656980,4406005,4250975,2541297,1298107,1243190,2462724,1258971,1203753,78573,39136,39437
昭和46,1971,11302258,5746131,5556127,8645049,4388193,4256856,2657209,1357938,1299271,2578118,1318495,1259623,79091,39443,39648
昭和47,1972,11368406,5764757,5603649,8609348,4356135,4253213,2759058,1408622,1350436,2678688,1368377,1310311,80370,40245,40125
昭和48,1973,11399234,5767325,5631909,8552715,4315286,4237429,2846519,1452039,1394480,2764794,1410974,1353820,81725,41065,40660
