地域階層,地域コード,地域,都内間移動者数/総数(人),都内間移動者数/男(人),都内間移動者数/女(人),都の区部からの転入者数/総数(人),都の区部からの転入者数/男(人),都の区部からの転入者数/女(人),都の市町村部からの転入者数/総数(人),都の市町村部からの転入者数/男(人),都の市町村部からの転入者数/女(人),20大都市計からの転入者数/総数(人),20大都市計からの転入者数/男(人),20大都市計からの転入者数/女(人),20大都市計からの転入者数/札幌市/総数(人),20大都市計からの転入者数/札幌市/男(人),20大都市計からの転入者数/札幌市/女(人),20大都市計からの転入者数/仙台市/総数(人),20大都市計からの転入者数/仙台市/男(人),20大都市計からの転入者数/仙台市/女(人),20大都市計からの転入者数/さいたま市/総数(人),20大都市計からの転入者数/さいたま市/男(人),20大都市計からの転入者数/さいたま市/女(人),20大都市計からの転入者数/千葉市/総数(人),20大都市計からの転入者数/千葉市/男(人),20大都市計からの転入者数/千葉市/女(人),20大都市計からの転入者数/横浜市/総数(人),20大都市計からの転入者数/横浜市/男(人),20大都市計からの転入者数/横浜市/女(人),20大都市計からの転入者数/川崎市/総数(人),20大都市計からの転入者数/川崎市/男(人),20大都市計からの転入者数/川崎市/女(人),20大都市計からの転入者数/相模原市/総数(人),20大都市計からの転入者数/相模原市/男(人),20大都市計からの転入者数/相模原市/女(人),20大都市計からの転入者数/新潟市/総数(人),20大都市計からの転入者数/新潟市/男(人),20大都市計からの転入者数/新潟市/女(人),20大都市計からの転入者数/静岡市/総数(人),20大都市計からの転入者数/静岡市/男(人),20大都市計からの転入者数/静岡市/女(人),20大都市計からの転入者数/浜松市/総数(人),20大都市計からの転入者数/浜松市/男(人),20大都市計からの転入者数/浜松市/女(人),20大都市計からの転入者数/名古屋市/総数(人),20大都市計からの転入者数/名古屋市/男(人),20大都市計からの転入者数/名古屋市/女(人),20大都市計からの転入者数/京都市/総数(人),20大都市計からの転入者数/京都市/男(人),20大都市計からの転入者数/京都市/女(人),20大都市計からの転入者数/大阪市/総数(人),20大都市計からの転入者数/大阪市/男(人),20大都市計からの転入者数/大阪市/女(人),20大都市計からの転入者数/堺市/総数(人),20大都市計からの転入者数/堺市/男(人),20大都市計からの転入者数/堺市/女(人),20大都市計からの転入者数/神戸市/総数(人),20大都市計からの転入者数/神戸市/男(人),20大都市計からの転入者数/神戸市/女(人),20大都市計からの転入者数/岡山市/総数(人),20大都市計からの転入者数/岡山市/男(人),20大都市計からの転入者数/岡山市/女(人),20大都市計からの転入者数/広島市/総数(人),20大都市計からの転入者数/広島市/男(人),20大都市計からの転入者数/広島市/女(人),20大都市計からの転入者数/北九州市/総数(人),20大都市計からの転入者数/北九州市/男(人),20大都市計からの転入者数/北九州市/女(人),20大都市計からの転入者数/福岡市/総数(人),20大都市計からの転入者数/福岡市/男(人),20大都市計からの転入者数/福岡市/女(人),20大都市計からの転入者数/熊本市/総数(人),20大都市計からの転入者数/熊本市/男(人),20大都市計からの転入者数/熊本市/女(人)
0,13000,都総数,459298,234107,225191,349621,178740,170881,109677,55367,54310,167140,88193,78947,8058,4279,3779,7018,3781,3237,12250,6304,5946,7507,3922,3585,33599,17530,16069,27012,13912,13100,7911,3959,3952,2959,1544,1415,2977,1613,1364,2511,1352,1159,11514,6386,5128,5691,2986,2705,13038,7239,5799,1484,812,672,4518,2434,2084,2070,1134,936,4146,2228,1918,2068,1114,954,8713,4550,4163,2096,1114,982
1,13100,区部,347529,177645,169884,301608,154272,147336,45921,23373,22548,131144,69021,62123,6466,3426,3040,5666,3043,2623,10186,5223,4963,6399,3292,3107,26298,13636,12662,19455,10039,9416,3538,1741,1797,2327,1205,1122,2275,1201,1074,1851,985,866,9577,5277,4300,4748,2470,2278,11537,6420,5117,1228,667,561,3780,2033,1747,1679,925,754,3396,1820,1576,1685,903,782,7372,3822,3550,1681,893,788
2,13101,千代田区,4399,2434,1965,4033,2216,1817,366,218,148,1176,703,473,52,31,21,32,19,13,91,51,40,67,34,33,212,132,80,129,81,48,20,12,8,17,8,9,27,16,11,13,5,8,80,56,24,80,37,43,113,73,40,13,8,5,42,23,19,16,13,3,44,24,20,11,7,4,97,59,38,20,14,6
2,13102,中央区,8979,4483,4496,8273,4137,4136,706,346,360,2979,1543,1436,146,76,70,137,70,67,220,106,114,191,89,102,553,265,288,343,177,166,54,22,32,32,18,14,43,22,21,41,23,18,215,117,98,145,86,59,355,203,152,19,14,5,91,51,40,27,12,15,65,35,30,45,26,19,219,110,109,38,21,17
2,13103,港区,14044,6978,7066,13058,6469,6589,986,509,477,4465,2321,2144,177,78,99,129,70,59,255,137,118,171,84,87,1058,537,521,666,306,360,90,39,51,42,23,19,67,29,38,66,38,28,321,185,136,181,92,89,517,302,215,33,14,19,130,77,53,66,39,27,115,61,54,56,34,22,268,148,120,57,28,29
2,13104,新宿区,18821,10040,8781,16341,8696,7645,2480,1344,1136,5880,3159,2721,307,163,144,281,165,116,477,242,235,230,133,97,1030,558,472,723,358,365,190,97,93,103,46,57,125,57,68,104,61,43,453,271,182,283,148,135,553,312,241,54,25,29,174,107,67,79,39,40,151,78,73,77,49,28,380,197,183,106,53,53
2,13105,文京区,10321,5217,5104,9288,4674,4614,1033,543,490,3236,1669,1567,169,92,77,172,94,78,247,112,135,122,55,67,539,271,268,338,173,165,75,41,34,58,25,33,69,37,32,60,28,32,321,180,141,178,98,80,313,166,147,29,16,13,112,70,42,47,29,18,76,38,38,47,22,25,205,94,111,59,28,31
2,13106,台東区,11733,6213,5520,10769,5677,5092,964,536,428,4006,2156,1850,214,115,99,195,109,86,372,185,187,229,119,110,719,378,341,445,252,193,92,49,43,59,33,26,64,36,28,49,25,24,357,193,164,138,71,67,509,295,214,35,21,14,99,51,48,47,26,21,98,52,46,39,25,14,196,98,98,50,23,27
2,13107,墨田区,12736,6440,6296,11525,5844,5681,1211,596,615,4628,2380,2248,212,123,89,185,98,87,295,141,154,402,180,222,825,438,387,575,283,292,111,58,53,80,42,38,72,35,37,56,26,30,347,197,150,160,81,79,549,280,269,50,26,24,145,74,71,43,25,18,128,76,52,55,24,31,290,148,142,48,25,23
2,13108,江東区,18772,9467,9305,17030,8553,8477,1742,914,828,7159,3827,3332,361,186,175,329,193,136,470,250,220,592,266,326,1320,701,619,850,455,395,150,82,68,103,57,46,101,55,46,95,58,37,593,337,256,304,159,145,757,415,342,56,25,31,221,127,94,70,45,25,214,116,98,85,52,33,395,202,193,93,46,47
