"年度[西暦]","区民向け住宅[戸]","都営住宅[戸]","都民住宅[戸]","公社住宅[戸]","ＵＲ賃貸住宅[戸]","合計[戸]"
"2015","863","4985","1042","339","3288","10517"
"2016","913","4830","624","859","3124","10350"
"2017","893","4825","595","859","2892","10064"
"2018","893","4953","175","1279","2513","9813"
"2019","834","4815","162","1279","2513","9603"

"令和2年度港区行政資料集　区民向け住宅等","Ver202003",,,,,
